run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
15,20,0.36091953808789284,3,1.0107941813467214,1.1180779189621843,15,0.1987363942892834,1.602370896760685,0.11892810721556854,1.4927796151057695,0.17803618358973816,0.07159106010800986,0.048816999828394186,0.07799802888322538,300,200,800,0.0,0.0,0,True,299,1248713,161,0.5,0,0.5800136729827764,0.41998632701722366,0.5,0.5,0.0,19,0.05,0.1775334541145141,0.013249092952618894,0.40211522548125606,0.03899901444161269,,Extinct,Rare,Moderate,Complex
16,10,0.6334751964264591,2,1.181650473131545,1.1970575549870222,25,0.12451293612164348,1.8928020703929591,0.11564564407273348,1.3368627540161768,0.13189977264065747,0.0440557998096118,0.022777382772169112,0.027643108194757394,300,200,800,0.0,0.0,0,True,299,1147439,195,0.5,0,0.8209965163785559,0.17900348362144416,0.5,0.5,0.0,11,0.1,0.15460235422504903,0.004980517444865739,0.3340096720987964,0.013821554097378697,,Extinct,Rare,Moderate,Moderate
17,20,0.0,1,1.030789580560685,1.3951230243549495,0,0.0677612993600177,2.491068029841995,0.12081764434130349,1.7375653864750036,0.13104297795348202,0.030826974549495127,0.04188165855453785,0.006303541962977422,300,200,800,0.0,1.0,6,False,300,2338130,475,0.05964202055703585,0,1.0,0.0,0.05964202055703585,0.05964202055703585,0.0,0,0.05,0.20992855688289652,0.0677612993600177,0.23524323875208458,0.0003759559793380375,,Survived,Rare,Fast,Simple
18,10,0.12737351223143242,3,1.197538849306733,1.4235378871447055,20,0.14760127890365,1.6519527070217452,0.07807952298735782,1.7320360134853678,0.24452743466445703,0.1268348256696202,0.02699461522664974,0.02701779688113916,300,200,800,0.0,0.0,0,True,299,807307,69,0.5,0,0.4210904688966846,0.5789095311033153,0.5,0.5,0.0,14,0.1,0.13523654572986238,0.007380063945182499,0.5186936420596904,0.01350889844056958,,Extinct,Rare,Moderate,Complex
19,5,0.0,1,1.1307313078485028,1.3381111117744895,0,0.28479630199775924,2.0947060128169936,0.10108694322322029,1.6757546143676594,0.3426975645611299,0.05983429945676788,0.03658372192221188,0.054092467830194293,300,200,800,0.0,0.0,0,True,299,924599,125,0.5,0,1.0,0.0,0.5,0.5,0.0,0,0.2,0.16939691155863298,0.28479630199775924,0.174597971051804,0.027046233915097147,,Extinct,Occasional,Moderate,Simple
20,2,0.7076398216067463,3,1.1922929138885379,1.2008024716937395,10,0.23832330546365676,1.898887531819189,0.17254459906619757,1.4561315210681578,0.24536466949995916,0.10423343596522021,0.026896414145285964,0.09840320748320891,300,200,800,0.0,1.0,1,False,300,1006389,145,0.1910639697034182,0,0.8062844463956241,0.19371555360437592,0.18974604197273104,0.19238189743410541,-0.0026358554613743757,29,0.5,0.2512476294903577,0.023832330546365677,0.4248102882034431,0.018801307453291005,,Survived,Frequent,Fast,Complex
21,5,0.6903497202280979,3,0.8457688832503157,1.2217229860512713,10,0.139801041858178,2.455605023713462,0.05355236021761389,1.329457402174245,0.12208802779693005,0.02888652353761693,0.04456954428873064,0.001103345027816527,300,200,800,0.0,1.0,5,False,300,2301137,314,0.3281072960394364,0,0.7948479870588306,0.20515201294116936,0.17262932790822014,0.4835852641706526,-0.31095593626243245,30,0.2,0.07119558169520834,0.013980104185817799,0.23660406396001504,0.0003620155536754374,,Survived,Occasional,Slow,Complex
22,2,0.7659758359414629,3,1.189699751922095,1.1451068619486584,15,0.07267136612784954,2.141231160324737,0.18253562950425606,1.6900127888027523,0.29984553643078793,0.13996416922055915,0.03727543111642409,0.09358345505535089,300,200,800,0.0,0.0,0,True,299,1015825,125,0.5,0,0.8467269041447347,0.15327309585526527,0.5,0.5,0.0,19,0.5,0.30848754827435376,0.004844757741856636,0.4667875696487698,0.04679172752767544,,Extinct,Frequent,Fast,Complex
23,2,0.5790212140390723,3,0.822161112186137,1.2602720182023637,20,0.13477075098144697,2.098845786224391,0.16366202695064871,1.9794224600298327,0.13831145667509148,0.046567686954218056,0.04143323305863567,0.049739611648988935,300,200,800,0.0,1.0,1,False,300,1539103,216,0.12708455504143207,0,0.7201344051962425,0.27986559480375756,0.10482889480879105,0.1493402152740731,-0.04451132046528204,15,0.5,0.3239562920001219,0.0067385375490723485,0.33668712681994645,0.00632113641434539,,Survived,Frequent,Fast,Complex
24,5,0.0,1,0.8075701775345949,1.4637148113417693,0,0.15319399503679199,1.7833889688035878,0.05707153790564885,1.828322866261754,0.25579076127442096,0.018986366205046117,0.029835041530537773,0.04806807398612972,300,200,800,0.0,0.0,0,True,299,1412085,220,0.5,0,1.0,0.0,0.5,0.5,0.0,0,0.2,0.10434519776562226,0.15319399503679199,0.07422616090765258,0.02403403699306486,,Extinct,Occasional,Moderate,Simple
