,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor
count,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
mean,74.5,8.54,0.26388951848283987,2.06,1.0102734305888714,1.3012518163175806,11.666666666666666,0.1679865160332793,1.9967419224555525,0.12579473432517113,1.5694818861471875,0.23132530393817943,0.069387288358564,0.03553862923229798,0.04883018093545569,300.0,200.0,800.0,0.0,0.35333333333333333,1.0533333333333332,299.46,1231577.3266666667,177.79333333333332,0.3699439011475308,0.0,0.7544293840948194,0.2455706159051806,0.36558086241863885,0.3743069398764229,-0.008726077457783987,12.886666666666667,0.22,0.19732989744365503,0.0593926923899933,0.3468286903617069,0.017282804018753605
std,43.445367992456916,6.444007673748449,0.2590754542073829,0.8373015140935532,0.11860331406609234,0.11614322078322799,9.316699783431154,0.0680528002958641,0.30085794889115874,0.04421459769638076,0.23928217396493254,0.08504488451440685,0.04459437195191999,0.00927043234446492,0.030135224397342442,0.0,0.0,0.0,0.0,0.47960647552410457,1.9413780017969962,0.6412027289378273,531108.4116774752,116.28969246114177,0.18754393676946537,0.0,0.20636991761072743,0.20636991761072765,0.19115269482438144,0.1856426911594061,0.03625203667524046,10.632694082178338,0.1723310377650562,0.07535213924799397,0.0800974706258815,0.27825664133389916,0.014838810012386154
min,0.0,2.0,0.0,1.0,0.802903485817607,1.1022644429884427,0.0,0.05643388814254964,1.5013189534032931,0.051645298746091736,1.2048366006436781,0.1013201233874434,0.0013123704239562939,0.020119897750383583,0.00042988144997948565,300.0,200.0,800.0,0.0,0.0,0.0,297.0,585397.0,53.0,0.02379331787807312,0.0,0.33797733570640054,0.0,0.022202531375844218,0.02379331787807312,-0.31095593626243245,0.0,0.05,0.06569062275081268,0.002758436926195462,0.004080540914957848,6.486998022721092e-05
25%,37.25,2.75,0.0,1.0,0.9051550446226404,1.200554606527306,0.0,0.10902821181888674,1.7205394057710874,0.08445936465039042,1.3482822043565106,0.15422320180200552,0.030539326149999706,0.027545960668285827,0.023014672771234045,300.0,200.0,800.0,0.0,0.0,0.0,299.0,822743.75,102.0,0.1714340169951819,0.0,0.5805678485033094,0.0,0.16291902371966263,0.18410856004525117,0.0,0.0,0.1,0.12816579589296162,0.007625888718815001,0.1315973020093929,0.004245130726997888
50%,74.5,5.0,0.22744863182175978,2.0,1.0148995270917902,1.2975545319021342,10.0,0.17201282769207982,2.017649752574058,0.12738780538505395,1.550733038679342,0.2245207244885584,0.06359270709135502,0.03520334516742707,0.04750566168875506,300.0,200.0,800.0,0.0,0.0,0.0,300.0,1030583.0,131.0,0.5,0.0,0.7561547342918846,0.24384526570811538,0.5,0.5,0.0,14.0,0.2,0.19301237689919432,0.014268100090199264,0.29756001438710766,0.01365588830753383
75%,111.75,10.0,0.47155541837412895,3.0,1.109572454769133,1.4063903330424041,20.0,0.2158000614563511,2.269482644316552,0.1633698125282536,1.7715420165760092,0.30857347600263224,0.11028124468358894,0.04405683882554367,0.079471302649413,300.0,200.0,800.0,0.0,1.0,1.0,300.0,1481375.5,207.0,0.5,0.0,1.0,0.41943215149669055,0.5,0.5,0.0,19.0,0.425,0.25433314811259666,0.10301948669852981,0.4420019416953374,0.026496854076231417
max,149.0,20.0,0.7774315744803793,3.0,1.1996628269286944,1.4978161633812368,25.0,0.2932937519642525,2.4970297145863345,0.19959970620462975,1.9962479281391856,0.39870588075048286,0.14831555335523336,0.049981136458922104,0.09960361188668401,300.0,200.0,800.0,0.0,1.0,10.0,300.0,2356342.0,507.0,0.5,0.0,1.0,0.6620226642935995,0.5,0.5273475687678039,0.0,30.0,0.5,0.3622724075522346,0.289482278428809,1.2818224532847542,0.049801805943342006
