run_id,timestamp,initial_population,max_population,max_rounds,base_birth_rate,maslow_variation,recovery_threshold,cooperation_bonus,trust_threshold,max_relationships_per_person,constraint_threshold_min,constraint_threshold_max,shock_interval_min,shock_interval_max,shock_interval_avg,shock_mean_years,pareto_alpha,pareto_xm,trust_delta_help,trust_delta_betray,relationship_memory,serendipity_rate,community_buffer_factor,acute_decay,chronic_window,num_groups,homophily_bias,in_group_trust_modifier,out_group_trust_modifier,out_group_constraint_amplifier,reputational_spillover,mixing_event_frequency,mixing_event_bonus_multiplier,inheritance_style,founder_group_a_proportion,founder_group_b_proportion,founder_group_c_proportion,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,first_cascade_round,total_cascade_events,total_shock_events,total_defections,total_redemptions,net_strategy_change,redemption_rate,total_births,total_deaths,max_population_reached,population_stability,population_growth,avg_system_stress,max_system_stress,avg_maslow_pressure,avg_basic_needs_crisis_rate,initial_physiological,initial_safety,initial_love,initial_esteem,initial_self_actualization,final_physiological,final_safety,final_love,final_esteem,final_self_actualization,physiological_change,safety_change,love_change,esteem_change,self_actualization_change,avg_trust_level,cooperation_benefit_total,cooperation_resilience,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,group_segregation_index,total_mixing_events,mixing_event_success_rate,reputational_spillover_events,out_group_constraint_amplifications,group_extinction_events,final_group_a_population,final_group_b_population,final_group_c_population,final_group_a_cooperation_rate,final_group_b_cooperation_rate,final_group_c_cooperation_rate,total_interactions,avg_interaction_processing_time,interaction_intensity,pop_multiplier,shock_frequency_proxy,growth_potential,resilience_index,intergroup_tension,stress_recovery_rate,social_support_effectiveness,relationship_window_len,behavioural_coop_rate,total_mutual_coop
0,2025-07-17T21:12:49.668578,155,800,200,0.011635750005613815,0.32940026965390734,0.3329049365182647,0.33101553704622316,0.6,150,0.05,0.25,5.954113951697377,21.630288237071916,13.792201094384646,5,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,10,713109,0,713109,0.0,645,0,800,0.0,5.161290322580645,3.6937107972666228,10.977361764119147,0.03548733853203597,0.195,5.592217306995474,5.9275923710421266,9.990913826924405,5.826555473801094,5.582305845719403,5.592217306995474,5.9275923710421266,9.990913826924405,5.826555473801094,5.582305845719403,0.0,0.0,0.0,0.0,0.0,0.5667844830278955,0,1.0,0,0,0.5667844830278955,0.5667844830278955,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,5.161290322580645,0.07250474330795102,0.06005548389994227,0.0,0,0.030000000000000027,0.0,40,929524.0,929524
3,2025-07-17T21:13:41.080635,358,800,200,0.006485242460489162,0.578870672372796,0.3196125761026951,0.39708887654400415,0.6,150,0.05,0.25,6.564954981415317,23.25261017362128,14.908782577518298,5,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,15,820337,0,820337,0.0,442,0,800,0.0,2.2346368715083798,6.122864840419814,11.343858459844462,0.05410024323289973,0.33,5.633655236363384,5.415653998052178,9.990221255797405,5.105723858078946,5.413812643223363,5.633655236363384,5.415653998052178,9.990221255797405,5.105723858078946,5.413812643223363,0.0,0.0,0.0,0.0,0.0,0.5846477034222519,0,1.0,0,0,0.5846477034222519,0.5846477034222519,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,2.2346368715083798,0.06707455788562845,0.014492161922880808,0.0,0,0.030000000000000027,0.0,40,972907.0,972907
12,2025-07-17T21:14:59.726121,389,800,200,0.007881542621832088,0.5200838758987261,0.4035246536476884,0.22120185219066454,0.6,150,0.05,0.25,14.898657952468811,33.53316225136081,24.215910101914808,5,2.7,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,6,953620,0,953620,0.0,411,0,800,0.0,2.056555269922879,0.5679644570570689,1.1946604519949253,0.05332420139366234,0.36375,5.5885629120743125,5.28586641594558,9.990028871770008,5.242491469125672,5.614656406267967,5.5885629120743125,5.28586641594558,9.990028871770008,5.242491469125672,5.614656406267967,0.0,0.0,0.0,0.0,0.0,0.5679488294803499,0,1.0,0,0,0.5679488294803499,0.5679488294803499,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,2.056555269922879,0.041295164864397466,0.016208828014050564,0.0,0,0.030000000000000027,0.0,40,872984.0,872984
14,2025-07-17T21:18:33.218101,370,800,200,0.006399539319860337,0.32230871441812686,0.44141921405116924,0.1589459436328951,0.6,150,0.05,0.25,9.187746064231657,20.660423860537783,14.92408496238472,5,2.7,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,8,828972,0,828972,0.0,430,0,800,0.0,2.1621621621621623,0.7943711600256946,1.3594559398245625,0.05227223522237692,0.30125,5.449988660144021,5.607531426527868,9.990332746659503,5.209285651300103,5.324186056415695,5.449988660144021,5.607531426527868,9.990332746659503,5.209285651300103,5.324186056415695,0.0,0.0,0.0,0.0,0.0,0.5682270139221487,0,1.0,0,0,0.5682270139221487,0.5682270139221487,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,2.1621621621621623,0.06700578310298026,0.013836841772670999,0.0,0,0.030000000000000027,0.0,40,966444.0,966444
22,2025-07-17T21:20:05.606244,315,800,200,0.007672736390576798,0.5668925275200392,0.287469047740251,0.31572281504168503,0.6,150,0.05,0.25,9.503177524040701,27.443069570407282,18.47312354722399,10,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,4,1101842,0,1101842,0.0,485,0,800,0.0,2.5396825396825395,0.22632566164343476,1.1506107989622798,0.05865776223742508,0.375,5.065611257792033,5.443059856620308,9.990653473010509,5.780808370303302,5.222408316084361,5.065611257792033,5.443059856620308,9.990653473010509,5.780808370303302,5.222408316084361,0.0,0.0,0.0,0.0,0.0,0.5689310793012207,0,1.0,0,0,0.5689310793012207,0.5689310793012207,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,2.5396825396825395,0.05413269702027586,0.019486314642734724,0.0,0,0.030000000000000027,0.0,40,657226.0,657226
24,2025-07-17T21:20:16.872462,259,800,200,0.008635842785355287,0.36425481415700184,0.20744178360194074,0.32810291479335346,0.6,150,0.05,0.25,7.442279747571519,25.503412405466285,16.472846076518902,10,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,10,794943,0,794943,0.0,541,0,800,0.0,3.088803088803089,1.6164472814470054,3.571370852067095,0.04511817240159093,0.2975,5.571904009234775,5.467214395690237,9.990325758687034,5.558526131176835,5.584178246610633,5.571904009234775,5.467214395690237,9.990325758687034,5.558526131176835,5.584178246610633,0.0,0.0,0.0,0.0,0.0,0.5673235881751266,0,1.0,0,0,0.5673235881751266,0.5673235881751266,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,3.088803088803089,0.06070596394544369,0.02667441786982328,0.0,0,0.030000000000000027,0.0,40,934401.0,934401
27,2025-07-17T21:20:27.161256,291,800,200,0.008198460913560166,0.5981557848762713,0.3472785449664349,0.11170437709601809,0.6,150,0.05,0.25,6.582080277187618,20.070826672474485,13.326453474831052,10,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,3,928203,0,928203,0.0,509,0,800,0.0,2.7491408934707904,0.6891894428349132,1.7268653568219507,0.061445565590503966,0.34,5.327618391005126,5.62744463757777,9.990293465223777,5.219401190023394,5.1887126703677495,5.327618391005126,5.62744463757777,9.990293465223777,5.219401190023394,5.1887126703677495,0.0,0.0,0.0,0.0,0.0,0.5689871761369985,0,1.0,0,0,0.5689871761369985,0.5689871761369985,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,2.7491408934707904,0.07503871918276274,0.022538724160990148,0.0,0,0.030000000000000027,0.0,40,811329.0,811329
38,2025-07-17T21:28:29.500720,105,800,200,0.007297726926819273,0.35187657459701405,0.29137663049015217,0.2819755844434277,0.6,150,0.05,0.25,11.804923203933653,25.53359121609505,18.66925721001435,10,2.7,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,1,0.0,1.0,1.0,1.0,0.0,0,1.0,mother,1.0,0,0,1.0,0.0,800,False,200,,0,2,852503,0,852503,0.0,695,0,800,0.0,7.619047619047619,0.056774960515353745,0.3594143851187404,0.026604541386850644,0.1675,5.895880339581995,5.749989945478644,9.990843640336236,6.099807128442752,5.747814755092675,5.895880339581995,5.749989945478644,9.990843640336236,6.099807128442752,5.747814755092675,0.0,0.0,0.0,0.0,0.0,0.5754351990775242,0,1.0,0,0,0.5754351990775242,0.5754351990775242,0.0,0.0,0,0,0,0,0,800,0,0,1.0,0,0,0,0.0,0.0,7.619047619047619,0.05356399500798518,0.05560172896624208,0.0,0,0.030000000000000027,0.0,40,388933.0,388933
45,2025-07-17T21:29:48.033467,103,800,200,0.007487057115061766,0.40188803399451956,0.393792482877103,0.3266494562220862,0.6,150,0.05,0.25,12.171157427581381,24.14162883451608,18.15639313104873,20,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,3,0.7039722901225156,1.0435342893908417,0.8484459047819277,1.1305477313415404,0.12946975358126223,20,2.01345009186832,mother,0.4,0.35,0.25,1.0,0.0,364,False,200,,0,1,331304,0,331304,0.0,261,0,364,0.07324547526744489,3.533980582524272,0.023300423601131416,0.30032531355568665,0.04498324221717454,0.25,5.529352629566262,5.5210068484802735,9.982554464097628,5.504591598386576,5.767692807502258,5.529352629566262,5.5210068484802735,9.982554464097628,5.504591598386576,5.767692807502258,0.0,0.0,0.0,0.0,0.0,0.0412354198720619,78.92308531669156,1.0,0.0,1.0,0.03900675272003501,0.043464087024088785,-0.0044573343040537755,0.0,10,1.0,235,235,0,185,86,93,1.0,1.0,1.0,695,0.0,1.9093406593406594,7.766990291262136,0.05507701847950893,0.05815189992280983,0.0,0.022183236043568356,0.030000000000000027,0.0,40,56.838848920863306,39503
2,2025-07-17T21:31:39.308717,221,800,200,0.008826125178614915,0.5445154289560568,0.4328764720574647,0.1060570310381122,0.6,150,0.05,0.25,11.230410221440906,22.955615621566107,17.093012921503508,5,1.5,0.3,0.04,-0.06,40,0.05,0.0,0.97,16,2,0.06304492116982399,1.3045747007018442,0.8655548164703096,1.2230165756976297,0.1224264605155477,25,2.2265080288087367,random,0.5527725758186786,0.44722742418132144,0,0.4825,0.5175,800,False,200,,0,12,1241578,129,1241449,0.00010390003688854023,579,0,800,0.0,3.6199095022624435,2.3147925550992663,5.605635561163044,0.0709014526939736,0.3475,5.328193571714579,5.631637824765099,8.538324164142487,4.270487591658551,5.447103968914428,5.328193571714579,5.631637824765099,8.538324164142487,4.270487591658551,5.447103968914428,0.0,0.0,0.0,0.0,0.0,0.05359748921934601,170.96306572941356,0.4825,0.0,1.0,0.0585840016692062,0.04861097676948582,0.009973024899720379,0.0,8,1.0,795,795,0,430,370,0,0.5279069767441861,0.4297297297297297,0,1932,0.0,2.415,3.6199095022624435,0.05850343673127228,0.03194977440222594,0.0,0.020130422276548175,0.030000000000000027,0.0,40,212.16252587991718,409898
