,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,9.432,0.28550565049894483,2.046,0.9975385810607631,1.2948458868900927,12.27,0.17550021706507257,1.9827319617329562,0.12604080386523667,1.6062260990438273,0.2554204768030692,0.07123044016830168,0.03551914694235901,0.04993384290918585,300.0,200.0,800.0,0.0,0.32,0.826,299.418,1147243.17,156.16,0.381103856131581,0.0,0.767725720803056,0.23227427919694402,0.376153469902669,0.38605424236049307,-0.009900772457824013,12.194,0.2097,0.20216852486616438,0.06189946767231181,0.31473968052022805,0.01878180003968948
std,144.4818327679989,6.914984455516893,0.2719257351182223,0.8253765764703834,0.11257094387112963,0.11503198698703576,9.569757599910359,0.07117061962495984,0.2941050804025635,0.04446042032838214,0.23091624536211203,0.08409952896843637,0.044198841398779706,0.00859337987106426,0.029292413450478495,0.0,0.0,0.0,0.0,0.46694332862167603,1.693948914770366,0.7565849864247677,498662.39517289895,103.0147293785596,0.18305733687012687,0.0,0.19783352280093505,0.19783352280093494,0.18752678065324865,0.1809159526645537,0.04187835304136958,9.994204934087039,0.17459058894309024,0.07676387292704867,0.08485583006264387,0.24092578546271734,0.015352229543646814
min,0.0,2.0,0.0,1.0,0.8003940451741052,1.1003698425091235,0.0,0.05055685601776065,1.5005326468513576,0.050009851714104304,1.2003298282093415,0.10017737614006089,0.00012863808282986277,0.020005724018948852,8.142043084736762e-05,300.0,200.0,800.0,0.0,0.0,0.0,296.0,589413.0,4.0,0.019969609000084484,0.0,0.33196178889314826,0.0,0.010276744370352262,0.019969609000084484,-0.576850437188795,0.0,0.05,0.06628323425362616,0.0021939664530438814,0.00033722664810202695,4.071021542368381e-05
25%,124.75,5.0,0.0,1.0,0.9010064527713801,1.1934958982913786,0.0,0.11936220912960559,1.7204394457724517,0.08511255796183557,1.402028437563133,0.17948642469391887,0.03354942765741812,0.02845356013554074,0.02429263200388859,300.0,200.0,800.0,0.0,0.0,0.0,299.0,801582.25,92.0,0.18048141889400987,0.0,0.5996667651679755,0.0,0.1567248811632506,0.1932496207552549,0.0,0.0,0.05,0.13853971606427767,0.008033330532006562,0.12965906489045495,0.004738402786497228
50%,249.5,10.0,0.2339314274266706,2.0,0.9919506783333604,1.2997552155603191,15.0,0.17527526564170284,1.976568311065666,0.12543662316639834,1.6169649244351914,0.25755308368575547,0.06401475470984494,0.03505993617160779,0.05017032937142112,300.0,200.0,800.0,0.0,0.0,0.0,300.0,954027.5,117.0,0.5,0.0,0.7770076423174495,0.2229923576825506,0.5,0.5,0.0,12.0,0.1,0.20079682369827373,0.014102664043544377,0.2768446412368545,0.01500597716501341
75%,374.25,20.0,0.5311924950846171,3.0,1.0913029355638288,1.3888246839499963,20.0,0.2339446012356174,2.2482806351274642,0.16589979191945503,1.8153587936847884,0.32607930953264236,0.110949458407041,0.04263234723848244,0.07596363106223314,300.0,200.0,800.0,0.0,1.0,1.0,300.0,1336116.5,175.25,0.5,0.0,1.0,0.40033323483202454,0.5,0.5,0.0,19.0,0.2,0.2571394030751484,0.10850328085039873,0.43057188152848336,0.030910225446529677
max,499.0,20.0,0.7994501151097362,3.0,1.1998535672007118,1.499484915286065,25.0,0.29993969133456333,2.498515082856841,0.1993859895104031,1.9990089698276456,0.39985202293496613,0.14990444723452007,0.04995301347261892,0.0999130537408541,300.0,200.0,800.0,0.0,1.0,13.0,300.0,2363613.0,540.0,0.60306418173531,0.0,1.0,0.6680382111068518,0.5624511676301982,0.8619331107934085,0.0,30.0,0.5,0.38370774438822225,0.2979001051205946,1.3948528533045368,0.04995652687042705
