,run_id,initial_population,max_population,pop_multiplier,base_birth_rate,max_rounds,maslow_variation,recovery_threshold,cooperation_bonus,trust_threshold,relationship_memory,shock_interval_min,shock_interval_max,shock_interval_avg,shock_mean_years,pareto_alpha,pareto_xm,trust_delta_help,trust_delta_betray,serendipity_rate,community_buffer_factor,acute_decay,chronic_window,final_cooperation_rate,final_constrained_rate,final_population,first_cascade_round,cascade_events,shock_events,population_growth,population_stability,cooperation_resilience,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,physiological_change,safety_change,love_change,esteem_change,self_actualization_change,num_groups,homophily_bias,in_group_trust_modifier,out_group_trust_modifier,out_group_constraint_amplifier,reputational_spillover,mixing_event_frequency,mixing_event_bonus_multiplier,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,group_segregation_index,total_mixing_events,mixing_event_success_rate,reputational_spillover_events,out_group_constraint_amplifications,group_extinction_events,total_interactions,interaction_intensity,shock_frequency_proxy,growth_potential,resilience_index,intergroup_tension,stress_recovery_rate,social_support_effectiveness
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,49.5,287.21,800.0,3.53478550663528,0.009212681891349234,200.0,0.4951527376460394,0.3559635024937577,0.2364970794261666,0.6,40.0,10.032636843147968,25.481850072709143,17.757243457928556,11.9,2.0809999999999995,0.3,0.039999999999999994,-0.06,0.04999999999999999,0.0416,0.97,16.0,0.9057874999999999,0.0942125,785.3,200.0,0.0,5.92,3.399538214328717,0.0032896727008808026,0.9057874999999999,200.0,1059259.53,139.15,0.00012801202061274848,0.23424829722035387,490.1588485522753,0.0,0.0,0.0,0.0,0.0,2.23,0.31112679207480054,1.2142183839547032,0.8736822026266222,1.1597575124575028,0.06356989930428136,14.0,1.8304921187680774,0.0,0.82,0.23867745689268904,0.2298191375480187,0.00885831934467038,0.0,10.56,0.8125,995.96,995.96,0.0,2343.67,2.9892744187079567,0.05788079476920393,0.03251942022940729,0.03916094208190883,0.01154605661461775,0.030000000000000037,0.009282168403244945
std,29.011491975882016,129.40183245388857,0.0,1.8110432383249542,0.0018048258827640681,0.0,0.11110757756762336,0.0828454529069997,0.08681017878819675,1.0042345108077675e-15,0.0,2.818958825485525,3.686980767232882,2.954892443035526,6.426743366825091,0.48214482924079627,5.021172554038837e-16,2.7895403077993544e-17,9.763391077297741e-17,9.763391077297741e-17,0.0331119923955663,7.810712861838193e-16,0.0,0.2007913365337764,0.20079133653377634,78.31643918402224,0.0,0.0,3.77305706237788,1.6575271232165794,0.016593415451572308,0.2007913365337764,0.0,251754.39034653726,176.92184972210455,0.00016139336815499089,0.20844774531172844,435.974934842472,0.0,0.0,0.0,0.0,0.0,0.7365631354644712,0.2683953138849506,0.16069899909011787,0.06477910793748556,0.09035716446176863,0.04989408173188259,8.133979109981546,0.46858554711787287,0.0,0.38612291966536955,0.20976951397287322,0.20749073703742388,0.0175914693907306,0.0,6.329855504438528,0.3854929285730128,639.7409658872438,639.7409658872438,0.0,1492.0248735638868,1.8575513340950274,0.009671489131531204,0.017942322248735057,0.03115601907613246,0.00924799137961168,6.973850769498386e-17,0.013630547615026375
min,0.0,100.0,800.0,1.6,0.00610764120554256,200.0,0.3065100364645342,0.2014007375834848,0.10224756215230028,0.6,40.0,5.176412120245965,17.251354183104034,11.541282958378861,5.0,1.5,0.3,0.04,-0.06,0.05,0.0,0.97,16.0,0.13625,0.0,180.0,200.0,0.0,1.0,1.6,0.0,0.13625,200.0,191103.0,0.0,0.0,0.031387116760235714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8004503901477994,1.0,0.0,0.0,1.0,0.0,0.0,0.04018793222081397,0.02258630129965746,-0.033230263547524175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04087378942769803,0.01096723612124743,0.0,0.0,0.030000000000000027,0.0
25%,24.75,154.0,800.0,1.9466089719911113,0.007645435691964235,200.0,0.4083294541720609,0.2921592608511715,0.15891659539248942,0.6,40.0,7.653621536921175,22.7373139325745,15.654738562339679,5.0,1.5,0.3,0.04,-0.06,0.05,0.0,0.97,16.0,0.976875,0.0,800.0,200.0,0.0,3.0,1.9173178203848404,0.0,0.976875,200.0,922621.5,0.0,0.0,0.055757742758011625,153.04926286786005,0.0,0.0,0.0,0.0,0.0,2.0,0.0547989153326127,1.0661719222371089,0.8280520110427044,1.1195055501424607,0.010842340688894347,10.0,1.6128442006494677,0.0,1.0,0.05762467493921757,0.0541424379327878,0.0,0.0,8.0,1.0,697.0,697.0,0.0,1704.75,2.2153125,0.05014241530649752,0.018470218440529117,0.0,0.001810693603024657,0.030000000000000027,0.0
50%,49.5,270.0,800.0,2.9636134130947807,0.009509464794144638,200.0,0.4770838872222142,0.3641585596378756,0.22394525977115537,0.6,40.0,9.947749058104264,25.016779729269373,17.355589309034876,10.0,2.0,0.3,0.04,-0.06,0.05,0.04,0.97,16.0,1.0,0.0,800.0,200.0,0.0,5.0,2.9197080291970803,0.0,1.0,200.0,1114744.5,51.0,4.3171958797654495e-05,0.05916874558256001,369.69670195793503,0.0,0.0,0.0,0.0,0.0,2.0,0.23424809976668487,1.211702993060383,0.8552823181831534,1.1752094605372196,0.06592098905398372,15.0,1.8717775168475779,0.0,1.0,0.06412925902563746,0.057405776663813676,0.003783587247972356,0.0,10.0,1.0,1060.0,1060.0,0.0,2440.0,3.064375,0.05761883750790847,0.025590469043572858,0.03773118723724295,0.010861943342124137,0.030000000000000027,0.004222000583551631
75%,74.25,411.0,800.0,5.197505197505198,0.010897883157792157,200.0,0.604027374469545,0.4304969832483452,0.31920838628159,0.6,40.0,12.606692556387834,28.062025416324772,19.94333864132881,20.0,2.7,0.3,0.04,-0.06,0.05,0.08,0.97,16.0,1.0,0.023125,800.0,200.0,0.0,9.0,4.801552235335155,0.0,1.0,200.0,1242831.5,235.0,0.00022804836721979882,0.3325430047529828,827.0074358821378,0.0,0.0,0.0,0.0,0.0,3.0,0.5709103428968267,1.362532937787642,0.887855928004752,1.225205452863859,0.10574260671901053,20.0,2.1767348804870235,0.0,1.0,0.3471964806104483,0.3229076260446546,0.011597489327280563,0.0,13.0,1.0,1421.25,1421.25,0.0,3317.5,4.1575,0.06388010881838566,0.045850255553539665,0.0748608582995505,0.019508209301548785,0.030000000000000027,0.012498436809679742
max,99.0,500.0,800.0,8.0,0.011864082667846065,200.0,0.6845112045853439,0.49962299007224414,0.38954763018895555,0.6,40.0,14.884425116937935,34.35199673664432,24.465556387153875,20.0,2.7,0.3,0.04,-0.06,0.05,0.08,0.97,16.0,1.0,0.86375,800.0,200.0,0.0,16.0,7.4766355140186915,0.10880088283561892,1.0,200.0,1457426.0,740.0,0.0006825768567704706,0.5787920728248209,2268.9388966559895,0.0,0.0,0.0,0.0,0.0,3.0,0.7889433663183921,1.499346005479889,1.0,1.2969962253774265,0.14968209078068706,25.0,2.4989940930051264,0.0,1.0,0.5958851482149962,0.5787920728248209,0.061044315126371984,0.0,20.0,1.0,2279.0,2279.0,0.0,5227.0,6.53375,0.08664547984884206,0.08505168539042574,0.07673009684578416,0.029532555432715782,0.030000000000000027,0.04596222053795878
