run_id,initial_population,max_population,pop_multiplier,base_birth_rate,max_rounds,maslow_variation,recovery_threshold,cooperation_bonus,trust_threshold,relationship_memory,shock_interval_min,shock_interval_max,shock_interval_avg,shock_mean_years,pareto_alpha,pareto_xm,trust_delta_help,trust_delta_betray,serendipity_rate,community_buffer_factor,acute_decay,chronic_window,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,first_cascade_round,cascade_events,shock_events,population_growth,population_stability,cooperation_resilience,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,physiological_change,safety_change,love_change,esteem_change,self_actualization_change,num_groups,homophily_bias,in_group_trust_modifier,out_group_trust_modifier,out_group_constraint_amplifier,reputational_spillover,mixing_event_frequency,mixing_event_bonus_multiplier,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,group_segregation_index,total_mixing_events,mixing_event_success_rate,reputational_spillover_events,out_group_constraint_amplifications,group_extinction_events,total_interactions,interaction_intensity,outcome_category,extinction_category,has_intergroup,segregation_level,trust_asymmetry_level,shock_frequency_proxy,growth_potential,resilience_index,intergroup_tension,stress_recovery_rate,social_support_effectiveness
14,148,800,5.405405405405405,0.011456780020706915,200,0.47252305903697656,0.2505335574833325,0.19413330594986936,0.6,40,7.523984650779138,25.985859556837134,16.754922103808134,5,2.0,0.3,0.04,-0.06,0.05,0.04,0.97,16,0.8725,0.1275,800,False,200,0,10,5.405405405405405,0.0,0.8725,200,915962,218,0.00023800113978527494,0.054964660681106586,628.7791844560139,0.0,0.0,0.0,0.0,0.0,2,0.667284426517761,1.24373533298594,0.8123841797907377,1.1937390995628712,0.11200593079043474,20,2.468676999198623,0.0,1.0,0.05573031050075884,0.05419901086145433,0.001531299639304512,0.0,10,1.0,1070,1070,0,2324,2.905,High_Coop,Survived,True,,Low,0.059683953993000985,0.06192854065246981,0.03761264184027996,0.025085334396966735,0.030000000000000027,0.0021985864272442636
15,246,800,3.252032520325203,0.00880913068373833,200,0.31734084406697605,0.37191535765838113,0.30100107008246535,0.6,40,10.864185175899673,21.38229265713903,16.12323891651935,5,2.0,0.3,0.04,-0.06,0.05,0.08,0.97,16,1.0,0.0,800,False,200,0,10,3.252032520325203,0.0,1.0,200,872970,0,0.0,0.567721879384128,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.567721879384128,0.567721879384128,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.06202227760673026,0.02864757945931164,0.07503821779146158,0.0,0.030000000000000027,0.04541775035073024
16,107,800,7.4766355140186915,0.011375662920969441,200,0.3417316977944064,0.2038528585358648,0.17106486284812608,0.6,40,7.2548848473659895,18.47854434050908,12.866714593937536,5,2.0,0.3,0.04,-0.06,0.05,0.08,0.97,16,0.88625,0.11375,800,False,200,0,4,7.4766355140186915,0.0,0.88625,200,1038013,27,2.6011234926730205e-05,0.05791711185150357,317.3814125107658,0.0,0.0,0.0,0.0,0.0,2,0.5490074956378705,1.48645011589831,0.8284655827932481,1.2669950300158683,0.026250047961529053,20,2.4671913545092803,0.0,1.0,0.05895751659958845,0.05687670710341868,0.002080809496169768,0.0,10,1.0,1062,1062,0,2175,2.71875,High_Coop,Survived,True,,Low,0.07771991775361009,0.08505168539042574,0.07378240657971119,0.0057050083431727855,0.030000000000000027,0.004633368948120286
17,401,800,1.9950124688279303,0.011215289005804641,200,0.6083406085523564,0.43756080858233126,0.3139665410841377,0.6,40,10.025480375204637,29.799443804587884,19.91246208989626,5,2.0,0.3,0.04,-0.06,0.05,0.08,0.97,16,0.99875,0.00125,800,False,200,0,7,1.9950124688279303,0.0,0.99875,200,1105580,427,0.00038622261618336077,0.29731487382086486,1111.6569418201889,0.0,0.0,0.0,0.0,0.0,2,0.16538517778328138,1.2185908765983968,0.8996187035008194,1.214044297213911,0.004901335569053094,20,2.0049184694182944,0.0,1.0,0.29300912908820065,0.3016206185535291,-0.00861148946532847,0.0,10,1.0,1206,1206,0,2601,3.25125,High_Coop,Survived,True,,Low,0.05021980684685938,0.02237464140808906,0.07598241545225125,0.000597312731001305,0.030000000000000027,0.02378518990566919
18,338,800,2.366863905325444,0.010707151780030384,200,0.5699766869390838,0.34979269998667784,0.17659086901229296,0.6,40,8.949060632496767,20.02437396739478,14.486717299945774,5,2.7,0.3,0.04,-0.06,0.05,0.0,0.97,16,0.99875,0.00125,800,False,200,0,4,2.366863905325444,0.0,0.99875,200,1248950,27,2.161815925377317e-05,0.05571398854556657,338.47618333951675,0.0,0.0,0.0,0.0,0.0,3,0.48092977624831684,1.2484520948865874,0.8094228031927243,1.119671951185493,0.09121951994621988,25,2.45105534879141,0.0,1.0,0.05586023368764333,0.05556774340348981,0.0002924902841535265,0.0,8,1.0,950,950,0,2057,2.57125,High_Coop,Survived,True,,Low,0.06902875090989338,0.025342371076994993,0.0,0.0194647807352887,0.030000000000000027,0.0
19,399,800,2.0050125313283207,0.0061383598961969365,200,0.3915213267381598,0.46355637749629547,0.36786325933134867,0.6,40,13.640902679986874,26.78111295168728,20.21100781583708,5,2.7,0.3,0.04,-0.06,0.05,0.0,0.97,16,0.99875,0.00125,800,False,200,0,11,2.0050125313283207,0.0,0.99875,200,1145122,311,0.00027158678289300177,0.2967006692963161,972.6543459220466,0.0,0.0,0.0,0.0,0.0,3,0.7867456294149153,1.4245494868365853,0.8862584823921388,1.156342934937493,0.10101927478697333,15,1.5390366343726027,0.0,1.0,0.28622789205366533,0.30717344653896694,-0.02094555448530161,0.0,13,1.0,1385,1385,0,3193,3.99125,High_Coop,Survived,True,,Low,0.04947798789214327,0.012307488513678067,0.0,0.01328647933072932,0.030000000000000027,0.0
20,156,800,5.128205128205129,0.00610764120554256,200,0.426551058802572,0.4455559498125435,0.11032572062844588,0.6,40,13.41932576913796,29.76340646126165,21.591366115199804,5,2.7,0.3,0.04,-0.06,0.05,0.0,0.97,16,0.985,0.015,800,False,200,0,8,5.128205128205129,0.0,0.985,200,740139,390,0.0005269280500014187,0.057849820672778225,359.4385365470209,0.0,0.0,0.0,0.0,0.0,3,0.2406568402870164,1.3619757749791102,0.873055651928885,1.1748505302104226,0.1205896280953892,10,2.479433697222393,0.0,1.0,0.06123766296021323,0.054461978385343224,0.006775684574870003,0.0,20,0.95,1241,1241,0,3044,3.805,High_Coop,Survived,True,,Low,0.04631480910770273,0.03132123695150031,0.0,0.01798481366497498,0.030000000000000027,0.0
21,125,800,6.4,0.007215329479824512,200,0.5327200062586386,0.4218119159122683,0.31949409099287973,0.6,40,13.424937439151766,30.498962400566715,21.96194991985924,5,2.7,0.3,0.04,-0.06,0.05,0.04,0.97,16,1.0,0.0,800,False,200,0,13,6.4,0.0,1.0,200,619556,0,0.0,0.5672417693690524,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.5672417693690524,0.5672417693690524,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.04553329752818275,0.04617810867087688,0.03817866809887269,0.0,0.030000000000000027,0.022689670774762093
22,130,800,6.153846153846154,0.008928995134244666,200,0.31845924369874085,0.45850364694724716,0.21419574164414837,0.6,40,11.989572511606692,27.724665000248457,19.857118755927573,5,2.7,0.3,0.04,-0.06,0.05,0.04,0.97,16,0.8525,0.1475,800,False,200,0,11,6.153846153846154,0.0,0.8525,200,718109,207,0.00028825707517939476,0.053559473215512576,277.35845938422,0.0,0.0,0.0,0.0,0.0,2,0.07782849282474712,1.3785143196741279,0.8476408633386429,1.1176514195839464,0.07129118339606999,10,1.8445629098767788,0.0,1.0,0.05871647090533334,0.0484024755256918,0.01031399537964154,0.0,20,1.0,926,926,0,2649,3.31125,High_Coop,Survived,True,,Low,0.05035977335339694,0.05494766236458257,0.03798560906586412,0.012139776773161857,0.030000000000000027,0.0021423789286205033
23,156,800,5.128205128205129,0.006982151883610093,200,0.44682659452443485,0.30931598400378435,0.22845775817585984,0.6,40,11.168302731680708,22.660738432953025,16.914520582316868,5,2.7,0.3,0.04,-0.06,0.05,0.04,0.97,16,1.0,0.0,800,False,200,0,9,5.128205128205129,0.0,1.0,200,711883,0,0.0,0.5674987244333688,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.5674987244333688,0.5674987244333688,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.059120800683256786,0.03580590709543638,0.037635167972669734,0.0,0.030000000000000027,0.022699948977334752
