,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,9.282,0.26468912571937564,2.002,0.9977698414662666,1.3054627239814514,11.51,0.17906683999164047,2.002232723860002,0.12273381508870046,1.6058148811982726,0.25263676768381,0.07212905443067377,0.03480338464970231,0.04896694632402064,300.0,200.0,800.0,0.7475119663659126,0.37077900609698417,0.7475119663659126,0.25248803363408745,771.916,300.0,323300.25,2060.53,0.005988219737044469,0.5422798543151481,0.0,0.7733432934783686,0.22665670652163136,0.5663603432212436,0.5181993654090525,0.04816097781219109,13.328,0.21120000000000003,0.19682412785001044,0.06799744018214587,0.3306720619537361,0.02689005278596462
std,144.4818327679989,6.8463289755080705,0.2689814605240984,0.8095101069328623,0.11400638113637623,0.11356083484131127,9.259664290109628,0.07223284739376754,0.2839320301677453,0.044266268655402945,0.22979744598891075,0.08679942232248561,0.043213357713874585,0.008695891739617776,0.02857541990278393,0.0,0.0,0.0,0.24394662330533423,0.24660494277261633,0.24394662330533423,0.24394662330533426,52.155895341156544,0.0,172469.4938195978,1606.6976928010151,0.003683341087726101,0.16944649644220988,0.0,0.1858532429668385,0.18585324296683794,0.1876581347019997,0.16688288640342136,0.10621904707811482,10.881969054403838,0.17385341532463466,0.07624990010965714,0.09105091184911725,0.25845415945845673,0.01861229995126036
min,0.0,2.0,0.0,1.0,0.8037006403325347,1.1027075585045996,0.0,0.05004663891189674,1.5020957574243146,0.050296813240021436,1.201800073895576,0.10089945594031874,0.0003395529895309557,0.02005980004418112,0.00016294124273772415,300.0,200.0,800.0,0.11883691529709228,0.016046683730624827,0.11883691529709228,0.0,500.0,300.0,65074.0,0.0,0.0,0.07131030760027841,0.0,0.4163889085880434,0.0,0.07742974429651361,0.06519087090404321,-0.252162950793845,0.0,0.05,0.06200531220476519,0.0021656507543137676,0.0011909099406774524,7.376129197634034e-05
25%,124.75,5.0,0.0,1.0,0.9005011390782838,1.210119469749213,0.0,0.11739090225140099,1.7588182405787351,0.082761121225606,1.4134144148719723,0.17381458925504656,0.03616427080347981,0.02720505605694904,0.0236462774964497,300.0,200.0,800.0,0.5597936717247207,0.13092235702944494,0.5597936717247207,0.04240353089533418,785.0,300.0,171768.5,704.5,0.003534875493063158,0.43333755831757276,0.0,0.6179604740448891,0.0,0.4443785118782224,0.41123251949794304,0.0,0.0,0.05,0.1311357199032944,0.008450092227508614,0.14007169101633937,0.011529305464724153
50%,249.5,7.5,0.18718701484135675,2.0,0.9985650768368385,1.3121310547768172,10.0,0.1791466464161257,2.0199521498535673,0.12290167885471785,1.5964993928336386,0.2554317786396196,0.06992641061716032,0.03433521556192706,0.04920302966966082,300.0,200.0,800.0,0.8456737570493084,0.3437432253670625,0.8456737570493084,0.15432624295069164,792.0,300.0,307195.0,1673.5,0.005424662815239086,0.5618198119356426,0.0,0.7687334805037265,0.23126651949627353,0.6091198148032546,0.5058592522052017,0.0,15.0,0.15000000000000002,0.19407340710848886,0.015126072747187386,0.2816069072168184,0.02471652091235844
75%,374.25,20.0,0.5254602386710021,3.0,1.09008559856025,1.4084955640705856,20.0,0.24395126227788527,2.2392222825283365,0.1609669786557089,1.80329525197945,0.33285522536770024,0.11140678216307294,0.042331306333603595,0.07259602100628469,300.0,200.0,800.0,0.9575964691046659,0.5917772264279597,0.9575964691046659,0.44020632827527933,794.0,300.0,475566.75,3207.75,0.0078168205295259,0.6558142155066292,0.0,1.0,0.3820395259551109,0.7148387318198413,0.6308668625132315,0.10557852679760356,20.0,0.2,0.2564490758880825,0.1170288978612193,0.43548494564180185,0.040160233869014655
max,499.0,20.0,0.7975884359111606,3.0,1.198588520536998,1.4986575423367694,25.0,0.2992680632573762,2.4998061485067393,0.1997552769271494,1.9987171228677778,0.3998646627465664,0.1480251962042745,0.04976834703098458,0.09992351990625134,300.0,200.0,800.0,1.0,0.811632002496712,1.0,0.8811630847029077,800.0,300.0,713410.0,7304.0,0.01674765056868363,0.911285713764673,0.0,1.0,0.5836110914119566,0.911285713764673,0.911285713764673,0.3755484359900081,30.0,0.5,0.39882425330107624,0.29913406155599254,1.4443507146879306,0.07761804069844705
