run_id,timestamp,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,maslow_variation,constraint_threshold_min,constraint_threshold_max,recovery_threshold,cooperation_bonus,trust_threshold,max_relationships_per_person,final_cooperation_rate,behavioral_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,first_cascade_round,total_cascade_events,total_shock_events,total_defections,total_redemptions,net_strategy_change,redemption_rate,total_encounters,total_mutual_cooperation,total_mutual_defection,total_mixed_outcomes,cooperation_consistency,total_births,total_deaths,max_population_reached,population_stability,population_growth,avg_system_stress,max_system_stress,avg_maslow_pressure,avg_basic_needs_crisis_rate,initial_physiological,initial_safety,initial_love,initial_esteem,initial_self_actualization,final_physiological,final_safety,final_love,final_esteem,final_self_actualization,physiological_change,safety_change,love_change,esteem_change,self_actualization_change,avg_trust_level,cooperation_benefit_total,cooperation_resilience,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,group_segregation_index,total_mixing_events,mixing_event_success_rate,reputational_spillover_events,out_group_constraint_amplifications,group_extinction_events,final_group_a_population,final_group_b_population,final_group_c_population,final_group_a_cooperation_rate,final_group_b_cooperation_rate,final_group_c_cooperation_rate,total_interactions,avg_interaction_processing_time,interaction_intensity,shock_frequency,group_complexity,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,avg_network_size,avg_out_group_penalty_accumulator,max_out_group_penalty_accumulator
7,2025-07-23T17:42:46.906344,10,0.0,1,1.1081385377532986,1.3474898116680807,0,0.09950159815603425,2.031392592143003,0.16660974638103895,1.6828901663857587,0.24625712563145039,0.07792452473266522,0.02595394844137461,0.044964626570614966,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9347826086956522,0.7108028763689141,0.06521739130434782,782,False,300,,0,9,100303,559,99744,0.00554222601177847,303160,215487,13580,74093,0.7603937747202337,861,277,800,0.010545136083139136,4.0,0.5754870374419151,1.7411982457937802,0.03878958085879111,0.2531969309462916,5.710385909119244,5.401779699450716,9.705312036515648,5.023888598383844,5.777876670539006,5.710385909119244,5.401779699450716,9.705312036515648,5.023888598383844,5.777876670539006,0.0,0.0,0.0,0.0,0.0,0.7604374227139158,0,0.9347826086956522,1.0,0.0,0.7604374227139158,0.7604374227139158,0.0,1.0,0,0,0,0,0,782,0,0,0.9347826086956522,0,0,303160,0.0,387.67263427109975,0.1,1,0.28038590380867573,0.09950159815603425,0.3164356139252898,0.0341927847426521,0,0,0
1,2025-07-23T17:42:47.750455,20,0.6372381519795556,2,0.9197597470224148,1.4973679618850946,15,0.05704531870795461,1.855666092348441,0.19641416630923952,1.4974739381595878,0.38540279559153456,0.0795799482461554,0.023697708916368777,0.07709588845165555,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9692513368983957,0.5261603873863234,0.03074866310160428,748,False,300,,0,5,184729,949,183780,0.005110998610497744,287878,151470,50082,86326,0.5428523720896137,817,269,775,0.013770259760047667,3.875,1.7810923549966544,3.226651383662136,0.05772902168516526,0.25935828877005346,5.439108996378806,5.613288461590051,9.730469934060965,4.306353117875502,5.481842014289635,5.439108996378806,5.613288461590051,9.730469934060965,4.306353117875502,5.481842014289635,0.0,0.0,0.0,0.0,0.0,0.5858527062857191,0,0.9692513368983957,0.8028470393708446,0.1971529606291554,0.758728388881595,0.41297702368984307,0.3457513651917519,0.8028470393708446,20,1.0,0,0,0,346,402,0,0.9653179190751445,0.972636815920398,0,287878,0.0,384.8636363636364,0.05,2,0.29412509513342916,0.003803021247196974,0.20648513491972031,0.045166834892904316,0,0,0
4,2025-07-23T17:42:53.929426,20,0.16354462898213917,2,0.9228093978354964,1.4120704469898353,20,0.21266216956276973,2.3643666111454085,0.09269951943687518,1.2136071559861807,0.36668226022253647,0.06724125527242235,0.02827457525513504,0.056239901421361274,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9141414141414141,0.4574620661644783,0.08585858585858586,792,False,300,,0,3,224851,1448,223403,0.006398614222776062,315154,144171,55930,115053,0.5004281165777166,879,284,800,0.016947181415865504,4.0,1.3579579489514784,2.2763652067843307,0.04478241561467934,0.19570707070707072,6.042229083248983,5.524467917097831,9.258013036547386,4.7900762946587525,5.8525046347631475,6.042229083248983,5.524467917097831,9.258013036547386,4.7900762946587525,5.8525046347631475,0.0,0.0,0.0,0.0,0.0,0.5736431076569706,0,0.9141414141414141,0.6104983595321652,0.38950164046783475,0.6201758707577478,0.5271103445561932,0.09306552620155462,0.6104983595321652,15,1.0,0,0,0,381,411,0,0.9212598425196851,0.9075425790754258,0,315154,0.0,397.92171717171715,0.05,2,0.11250080014507177,0.010633108478138486,0.18337744299823552,0.03226163182567136,0,0,0
8,2025-07-23T17:42:56.485432,5,0.5653992208975424,3,0.8458560867523075,1.2455709223705493,15,0.28097687524258036,1.509355861609436,0.15323847786705702,1.6446898492508863,0.2824984689778238,0.0627805216490748,0.02348744242668127,0.025532843405954655,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.8005284015852048,0.25772847841813357,0.19947159841479525,757,False,300,,0,16,332054,1676,330378,0.005022023791687891,290290,74816,119827,95647,0.32194795076324606,830,272,789,0.0069922910652374356,3.945,5.422681839459412,9.211856038656451,0.08591062847461432,0.29590488771466317,5.1896863677068135,5.415896277750417,9.06174985266463,3.3547649964137385,5.1649955596044,5.1896863677068135,5.415896277750417,9.06174985266463,3.3547649964137385,5.1649955596044,0.0,0.0,0.0,0.0,0.0,0.46978851600563376,0,0.8005284015852048,0.7126459747149402,0.28735402528505977,0.5513576784167245,0.388219353594543,0.16313832482218144,0.7126459747149402,20,1.0,0,0,0,229,285,243,0.8034934497816594,0.8385964912280702,0.7530864197530864,290290,0.0,383.47424042272127,0.2,3,0.2520297690626053,0.01873179168283869,0.22223313944403386,0.011995036613087668,0,0,0
5,2025-07-23T17:42:58.663959,2,0.0,1,1.071450243305717,1.26599007175977,0,0.19994510476289484,2.38199393798263,0.11242000639918487,1.7953095108974888,0.2622040692163063,0.10417696020826406,0.030191372135473002,0.014489730987132255,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.5690747782002535,0.24865856000768252,0.4309252217997465,789,False,300,,0,45,365372,5220,360152,0.014085571194197392,333224,82859,118164,132201,0.4369523470959053,868,274,800,0.012350672227766939,4.0,13.586187220061401,23.77298069180435,0.1405946945637167,0.34474017743979724,4.929571579180282,4.888868825424368,7.209552939451637,0.5899995614979194,5.27866368010852,4.929571579180282,4.888868825424368,7.209552939451637,0.5899995614979194,5.27866368010852,0.0,0.0,0.0,0.0,0.0,0.556527333851451,0,0.5690747782002535,1.0,0.0,0.556527333851451,0.556527333851451,0.0,1.0,0,0,0,0,0,789,0,0,0.5690747782002535,0,0,333224,0.0,422.33713561470216,0.5,1,0.20182870670361314,0.19994510476289484,0.39731252272184553,0.008063931354493467,0,0,0
22,2025-07-23T17:42:59.156912,20,0.4810285597687129,3,1.0886755748143218,1.2541294953907411,15,0.19918677644758087,1.9856106801712559,0.1687219617817794,1.5322347031565309,0.39029978319121283,0.03621890875112684,0.02206953361067104,0.03213056295849242,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9573333333333334,0.5506656111331014,0.042666666666666665,750,False,300,,0,3,172290,492,171798,0.0028475188387679273,288006,158595,44405,85006,0.5752078110721811,811,257,778,0.012248813793642352,3.89,0.28881861276947035,1.1595670897587422,0.04218480763467037,0.288,5.540496188104618,5.294949787845792,9.669897454474222,5.894419642758596,6.033296256938932,5.540496188104618,5.294949787845792,9.669897454474222,5.894419642758596,6.033296256938932,0.0,0.0,0.0,0.0,0.0,0.6123840200012358,0,0.9573333333333334,0.6685659326541809,0.3314340673458192,0.7719077312469834,0.4528603087554882,0.3190474224914952,0.6685659326541809,20,1.0,0,0,0,224,239,287,0.9464285714285714,0.9707112970711297,0.9547038327526133,288006,0.0,384.008,0.05,3,0.2585216450266923,0.013279118429838725,0.09279766556617004,0.01967624330942439,0,0,0
6,2025-07-23T17:43:03.071275,2,0.336389765199597,2,0.8940895191940113,1.4294215171330058,15,0.12215056053479241,2.03846480853395,0.14046122035435815,1.3839531813593866,0.22775639299051129,0.02249645625398139,0.031215846754394996,0.03624717684512362,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.4327044025157233,0.08628796583075232,0.5672955974842767,795,False,300,,0,35,500453,2960,497493,0.0058798640480082955,320288,27637,212401,80250,0.19941550242862818,877,280,800,0.015972943013790406,4.0,8.658967434347206,17.46133284762289,0.1660272338943114,0.33962264150943394,5.089409271797309,4.885102967014205,4.703710858057852,0.9181165104314927,5.06054951319428,5.089409271797309,4.885102967014205,4.703710858057852,0.9181165104314927,5.06054951319428,0.0,0.0,0.0,0.0,0.0,0.3101497578896666,0,0.4327044025157233,0.683547307423319,0.31645269257668096,0.2926096999957476,0.3276898157835855,-0.03508011578783793,0.683547307423319,20,1.0,0,0,0,385,410,0,0.42597402597402595,0.43902439024390244,0,320288,0.0,402.87798742138364,0.5,2,0.1943917527670358,0.008143370702319495,0.09877420325548723,0.011242053122699021,0,0,0
13,2025-07-23T17:43:07.639897,10,0.0,1,1.1767759472662511,1.3006202479279094,0,0.09600326360799431,1.5647213820369217,0.17897476836794696,1.833136041662798,0.1748677595153731,0.06491175308011037,0.027835091105100733,0.0045812645925581985,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9383647798742139,0.6204225308850542,0.061635220125786164,795,False,300,,0,9,148094,590,147504,0.003968147211535875,325562,201986,25749,97827,0.6611741448439921,869,272,800,0.017801604553584285,4.0,2.108648672813435,3.810671101321498,0.03704770073705083,0.1861635220125786,6.180378272828532,5.800453561806662,9.772339206225919,4.717144797515226,5.613216644660123,6.180378272828532,5.800453561806662,9.772339206225919,4.717144797515226,5.613216644660123,0.0,0.0,0.0,0.0,0.0,0.8113989561225792,0,0.9383647798742139,1.0,0.0,0.8113989561225792,0.8113989561225792,0.0,1.0,0,0,0,0,0,795,0,0,0.9383647798742139,0,0,325562,0.0,409.5119496855346,0.1,1,0.32808509844353445,0.09600326360799431,0.37120480790745075,0.003717233308123055,0,0,0
16,2025-07-23T17:43:12.502907,20,0.0,1,1.0491385119754857,1.4090825107226268,0,0.11684789566612845,1.568428569923709,0.06585570958666652,1.9699710940169428,0.37148857551764447,0.03344473615155489,0.028235740737801003,0.06395916744317247,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9974651457541192,0.7421460689713292,0.0025348542458808617,789,False,300,,0,6,95459,691,94768,0.0071866874674987,332254,246581,10656,75017,0.744032081853086,892,297,800,0.009510893805372456,4.0,0.7763371040649253,1.827601236902872,0.04226019158798673,0.21292775665399238,5.856223165828708,5.730359345959659,9.969506622155002,5.038395306861445,5.448026960573868,5.856223165828708,5.730359345959659,9.969506622155002,5.038395306861445,5.448026960573868,0.0,0.0,0.0,0.0,0.0,0.6688869341176048,0,0.9974651457541192,1.0,0.0,0.6688869341176048,0.6688869341176048,0.0,1.0,0,0,0,0,0,789,0,0,0.9974651457541192,0,0,332254,0.0,421.10773130544993,0.05,1,0.1297338442617075,0.11684789566612845,0.09002897627457826,0.042781451419778155,0,0,0
3,2025-07-23T17:43:18.590305,20,0.7205310718897078,2,1.1802760066466642,1.4858718473717478,25,0.12677947614140717,2.0855761072983823,0.11298199214043789,1.7940173893537357,0.2973546468628517,0.14017707366585963,0.03411162430347335,0.09193909253682347,300,200,800,0.5,0.2,0.8,0.15,0.2,0.6,150,0.9696969696969697,0.6125260057504851,0.030303030303030304,792,False,300,,0,2,170290,517,169773,0.0030268080347995107,342232,209626,39198,93408,0.6316674434301878,908,313,800,0.006171772309437368,4.0,0.08441175256503985,0.7072999488344033,0.040046880154916975,0.2297979797979798,5.707970906015847,5.523082492582243,9.757176080111371,5.089676755805099,5.874767009237963,5.707970906015847,5.523082492582243,9.757176080111371,5.089676755805099,5.874767009237963,0.0,0.0,0.0,0.0,0.0,0.6348038859448855,0,0.9696969696969697,0.8332184015521634,0.16678159844783655,0.7523411684235577,0.5172666034662133,0.23507456495734436,0.8332184015521634,12,1.0,0,0,0,386,406,0,0.9766839378238342,0.9630541871921182,0,342232,0.0,432.1111111111111,0.05,2,0.20269165858377267,0.005071179045656286,0.47141376516141426,0.05836329321262196,0,0,0
