run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
0,10,0.0,1,1.1315623937173305,1.4125050783004596,0,0.20312106870599128,1.9152621591323187,0.09632881896461579,1.4246241465569405,0.177553085621158,0.06502430767792715,0.04187223950740761,0.004979724235074801,300,200,800,0.9836065573770492,0.7293147187702803,0.9836065573770492,0.01639344262295082,793,False,300,111267,166,0.0014896843843385712,0.7094440490075922,0,1.0,0.0,0.7094440490075922,0.7094440490075922,0.0,0,0.1,0.13723236150630377,0.20312106870599128,0.3662245995356476,0.003532835724272702,5,0.5993568480867604,0.15,0.15,High_Coop,Survived,Rare,Moderate,Simple
1,10,0.4862696389096452,3,0.8642589925244718,1.2919310856498951,25,0.11708251159118423,1.5891429378324262,0.15792059797238228,1.916882119627469,0.10454385690360513,0.022279581243806756,0.03007702743258329,0.0406754813704356,300,200,800,0.4491844416562108,0.05357045607198398,0.4491844416562108,0.5508155583437893,797,False,300,538399,2962,0.005471395242730821,0.2130798853247692,0,0.6583544617842296,0.3416455382157704,0.17943015607646778,0.24672961457307063,-0.06729945849660285,12,0.1,0.30271517057413755,0.004683300463647369,0.21311229472191454,0.008667126905942204,6,0.5796416618398662,0.15,0.15,Medium_Coop,Survived,Rare,Fast,Complex
2,5,0.11384403141620868,3,1.1701607394505797,1.1884925761363558,25,0.19887333592581236,1.52795616619852,0.08817365221677378,1.3481202990566077,0.3654722540338944,0.12683900357638858,0.03235470207997293,0.04998937443367129,300,200,800,0.6363636363636364,0.1201430844440345,0.6363636363636364,0.36363636363636365,792,False,300,470333,2307,0.004881093432633717,0.403490768913295,0,0.40832103491214317,0.5916789650878569,0.4185211451344934,0.3884603926920966,0.03006075244239681,12,0.2,0.1188686903953904,0.007954933437032494,0.3470550833241239,0.020170251127736637,17,0.5468571360580543,0.15,0.15,Medium_Coop,Survived,Occasional,Moderate,Complex
3,20,0.053665388365592294,2,0.9508459284718868,1.1980048878542267,25,0.29793578984088875,2.4581856554150487,0.07138212628433359,1.5244837464287535,0.16933294413965216,0.14965484015352412,0.03361265660054288,0.039427843037200296,300,200,800,0.5775535939470365,0.1487751543985107,0.5775535939470365,0.4224464060529634,793,False,300,429917,2706,0.006254868557612517,0.465043389012989,0,0.5261753494282084,0.47382465057179163,0.4544012006291953,0.47568557739678263,-0.02128437676758732,12,0.05,0.10882089130599126,0.01191743159363555,0.8837904573967654,0.018335657747491806,5,0.49233281281744334,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Moderate
4,5,0.5656269587605621,2,1.0839491908081862,1.3663434554102387,25,0.21326784619787448,1.7282520867809081,0.17977970264986037,1.7133529319397467,0.29419757620316955,0.04442537091328464,0.03668648694288249,0.08577346304598794,300,200,800,0.9559748427672956,0.37256080850564044,0.9559748427672956,0.0440251572327044,795,False,300,318421,1846,0.005763940711968452,0.6129713321731995,0,0.7811145476205125,0.2188854523794876,0.7680619294787225,0.4578807348676766,0.31018119461104593,12,0.2,0.3080260806383941,0.008530713847914978,0.15100522406277397,0.05257667390840793,11,0.9288561790622883,0.15,0.15,High_Coop,Survived,Occasional,Fast,Moderate
5,5,0.20969052129393423,2,0.9080907499161105,1.146737400540244,20,0.25716327660648436,2.417241484593103,0.1701423490198982,1.8597284153516305,0.3483324493863116,0.04492425212586972,0.04676400475027539,0.0010068443035447185,300,200,800,0.9445145018915511,0.4059730822960322,0.9445145018915511,0.05548549810844893,793,False,300,307962,1008,0.0032624526653073113,0.7573933738987714,0,0.6030316298659327,0.39696837013406727,0.8296658131239114,0.6851209346736313,0.14454487845028008,15,0.2,0.3164185611269793,0.012858163830324218,0.12896947213794407,0.000762577204052493,7,0.7812621349848998,0.15,0.15,High_Coop,Survived,Occasional,Fast,Moderate
6,10,0.2644330035672181,3,1.129343246816419,1.3063012030215941,20,0.212188183974225,2.3380498158108516,0.1289968893483534,1.9555119170050113,0.18179480636607398,0.14017827589891074,0.034950546809935465,0.056235740466093434,300,200,800,0.4238993710691824,0.03426379375897311,0.4238993710691824,0.5761006289308176,795,False,300,591275,4226,0.00709654559774039,0.2778961182976637,0,0.5098172181522066,0.4901827818477934,0.248489303706215,0.30730293288911237,-0.05881362918289737,15,0.1,0.2522549543772819,0.01060940919871125,0.7710796512890393,0.015627693985122214,4,0.46135270858693067,0.15,0.15,Medium_Coop,Survived,Rare,Fast,Complex
7,10,0.0,1,0.8599277877547975,1.2113706499392818,0,0.13981673248814436,1.7209885296011778,0.11105130790562026,1.6573547870607395,0.33588393188085086,0.03553083067306,0.029580650007507404,0.07022489545829051,300,200,800,0.8121059268600253,0.557427196600425,0.8121059268600253,0.18789407313997478,793,False,300,172843,2070,0.011834454843264938,0.689815342610225,0,1.0,0.0,0.689815342610225,0.689815342610225,0.0,0,0.1,0.1840514167667359,0.13981673248814436,0.10578306164899834,0.0484422103203279,14,0.8470638925986417,0.15,0.15,High_Coop,Survived,Rare,Moderate,Simple
8,10,0.29976213487768794,3,0.8534636255902881,1.2954588202222161,10,0.20127262446703198,1.7838277028338625,0.07243148335704656,1.6404373127508352,0.19066524697681952,0.0404999199726349,0.04946955360541473,0.010955493456013555,300,200,800,0.5401273885350318,0.08367583463951844,0.5401273885350318,0.45987261146496816,785,False,300,570717,3797,0.006609064357004355,0.500190330591413,0,0.5327601435697401,0.46723985643025995,0.41494973486531417,0.5854309263175118,-0.17048119145219764,30,0.1,0.11881930791679031,0.0201272624467032,0.2124137493056548,0.005479831893555482,9,0.4794699616441652,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Complex
9,5,0.0,1,1.0442252211036633,1.3601485742184904,0,0.2016340137909272,2.0515381348191526,0.10723192625075317,1.7161146400673077,0.2794334503734864,0.0498731858362873,0.03743902757682219,0.08428435881460408,300,200,800,1.0,0.5544374229095236,1.0,0.0,793,False,300,204235,1732,0.00840911408138197,0.7338370631446737,0,1.0,0.0,0.7338370631446737,0.7338370631446737,0.0,0,0.2,0.18402227852153538,0.2016340137909272,0.17847965506501665,0.06185098634154095,14,0.5013498699684446,0.15,0.15,High_Coop,Survived,Occasional,Moderate,Simple
