,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,9.174,0.26165382098391016,1.984,1.0019238965706987,1.3029767923788629,11.77,0.1776492958920495,1.9896987032559328,0.12766030225492617,1.5952529562245774,0.24883894753384134,0.0774320988717887,0.035488795305465524,0.05348380698307954,300.0,200.0,800.0,0.7433678123405498,0.38736895431250323,0.7433678123405498,0.2566321876594502,768.634,300.0,311616.46,2014.242,0.0058466570516040334,0.5638006226030123,0.0,0.7685538090865355,0.2314461909134646,0.5861328697793399,0.541468375426685,0.04466449435265475,12.442,0.20760000000000003,0.20352292063491037,0.06625095536541599,0.36481316237843747,0.030191185062596045,14.956,0.5472910462625202,0.14999999999999997,0.14999999999999997
std,144.4818327679989,6.671186810975514,0.26560503356360143,0.817974427674029,0.11586291195698273,0.11634183970166403,9.690454572394357,0.07374278077428516,0.2780177557768548,0.04395958390953661,0.23327359262848577,0.08547346787863182,0.044666599212068885,0.008706901230016814,0.028391193645059716,0.0,0.0,0.0,0.25777183049994296,0.25499315076884904,0.25777183049994296,0.25777183049994296,65.14402145294784,0.0,175881.01843723052,1586.0907512429283,0.0033682969466931967,0.189658141434652,0.0,0.2052496293438021,0.20524962934380225,0.20968040298615614,0.18406689059218995,0.10868367295800381,10.578016111242173,0.16985270053714077,0.07697157176031544,0.08682126880895841,0.2865421251188599,0.019955826287634332,13.467472280247636,0.14691137606684415,2.778337289411855e-17,2.778337289411855e-17
min,0.0,2.0,0.0,1.0,0.8020784461309207,1.101628727651377,0.0,0.05013600238988915,1.5017329413000051,0.05004161946883918,1.2021408920010106,0.10005911819690562,1.4788564916839996e-05,0.020005674172183324,0.0007862416233295422,300.0,200.0,800.0,0.08640406607369759,0.006824873096446701,0.08640406607369759,0.0,463.0,300.0,58949.0,0.0,0.0,0.10705186520156008,0.0,0.3481291091916978,0.0,0.07739154359405823,0.10889200936961504,-0.2474844653950687,0.0,0.05,0.06717511610672022,0.002005440095595566,4.09615705191346e-05,0.0006301266508178542,0.0,0.0,0.15,0.15
25%,124.75,5.0,0.0,1.0,0.9044364749372359,1.204419094157734,0.0,0.1138686505792299,1.7615751904729173,0.08874984099648003,1.392699102268576,0.17346164853460774,0.036729266992041834,0.028422740475685913,0.02942897147720025,300.0,200.0,800.0,0.5376839251464912,0.13231228105311574,0.5376839251464912,0.0329647437432356,787.0,300.0,156251.25,688.25,0.0032595732726412117,0.4367215523912579,0.0,0.6044427229483917,0.0,0.444899860505724,0.413053617634514,0.0,0.0,0.1,0.13866179169456166,0.00822512425612692,0.14576947350129732,0.01374314463853793,5.0,0.47353407598430913,0.15,0.15
50%,249.5,10.0,0.19522517507591838,2.0,1.0013291679545833,1.3040497896494356,12.5,0.17852107776981527,2.004367301803525,0.13018931175130183,1.5976263580597179,0.25441050694331657,0.07917280330167546,0.03529220503654033,0.054362778454945505,300.0,200.0,800.0,0.8478540899112494,0.38205962881999334,0.8478540899112494,0.15214591008875067,792.0,300.0,282808.5,1584.5,0.005570925308722727,0.605182213182766,0.0,0.7748410979095681,0.225158902090432,0.6470634085017052,0.5493108001426074,0.0,12.0,0.1,0.2055271073450435,0.014560021035181283,0.30332557257290704,0.02717754714083677,9.0,0.5306451912029551,0.15,0.15
75%,374.25,10.0,0.48391836470064054,3.0,1.097207213886424,1.40315356770845,20.0,0.23999006893009617,2.215224640060458,0.1653705588547334,1.8100202183802847,0.3182396971747331,0.11575625463321514,0.0428329816685558,0.07818746123700315,300.0,200.0,800.0,0.9670352562567643,0.6228817705232833,0.9670352562567643,0.4623160748535088,794.0,300.0,456458.25,3152.75,0.007747110112988811,0.703270487010679,0.0,1.0,0.3955572770516082,0.7477366364875002,0.6819128860296857,0.10386225629798278,20.0,0.2,0.2549295121758064,0.11606254735291838,0.5026044245771515,0.04486628109789903,21.0,0.6050208461160784,0.15,0.15
max,499.0,20.0,0.7956440243269249,3.0,1.1999483891634493,1.4974935908255207,25.0,0.2997566986334844,2.497189650727373,0.1998114368117348,1.9994141482566645,0.3992506815167788,0.14976678051964745,0.04995160971733445,0.0999727156540046,300.0,200.0,800.0,1.0,0.788657325533941,1.0,0.9135959339263025,799.0,300.0,726988.0,7647.0,0.017908732566409374,0.8840677611835125,0.0,1.0,0.6518708908083022,0.9068327179221297,0.8840677611835125,0.3544111872357296,30.0,0.5,0.38446844241188033,0.2983286747626049,1.4881026370434305,0.08400021069402795,56.0,1.4878064999768945,0.15,0.15
