run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
0,10,0.0,1,0.903665138358373,1.481685955544485,0,0.138978358037545,1.7250005626969047,0.1235225200993439,1.7060914291461913,0.3304348202974564,0.022379142736327233,0.04980531594621611,0.026050370004372672,300,200,800,0.9987437185929648,0.5100461184505033,0.9987437185929648,0.001256281407035176,796,False,300,234584,2708,0.011412099860087992,0.7779009781687971,0,1.0,0.0,0.7779009781687971,0.7779009781687971,0.0,0,0.1,0.21074071284802878,0.138978358037545,0.06772634529309471,0.020264608308060594,4,0.6071262445578829,0.0,0.0,High_Coop,Survived,Rare,Fast,Simple
1,10,0.6345451423313584,3,1.1549734115743222,1.4143801703872398,10,0.2991088671873401,2.3045471489826626,0.05383899661649693,1.2671902676257811,0.29669445323641586,0.03806138170331919,0.039466101193914534,0.013317696353197739,300,200,800,0.9343434343434344,0.2978482879143684,0.9343434343434344,0.06565656565656566,792,False,300,373152,4542,0.01202560803189884,0.6658624538970266,0,0.7550352247283054,0.2449647752716946,0.6070130874128902,0.7247118203811629,-0.11769873296827271,30,0.1,0.06822425253116227,0.029910886718734007,0.1282847767733313,0.008867753973995729,9,0.598047848861016,0.0,0.0,High_Coop,Survived,Rare,Slow,Complex
2,20,0.5013349904550556,3,0.8145163936241725,1.158889999378519,25,0.16847451553804949,1.7527464748832795,0.0863893392462603,1.216108220286491,0.13671460681558414,0.04133021514075837,0.024507539667781998,0.033111499358296104,300,200,800,0.7686453576864536,0.2574377050634034,0.7686453576864536,0.2313546423135464,657,False,300,303544,1714,0.005614922459034653,0.41918635817019556,0,0.6659609529721262,0.33403904702787385,0.4211997691003126,0.41717294724007853,0.004026821860234064,12,0.05,0.10505878560249553,0.006738980621521979,0.3023101635109784,0.013879888829558911,4,0.36511482632175984,0.0,0.0,High_Coop,Survived,Rare,Moderate,Complex
3,10,0.27455358519218437,2,0.9325211580373021,1.3654113514532211,25,0.2497191233298282,2.3006226187575627,0.10990289724375453,1.6404399079870928,0.2751190112565039,0.14220720870938253,0.02907519964151319,0.04651631879494459,300,200,800,0.8659147869674185,0.2502930269200469,0.8659147869674185,0.13408521303258145,798,False,300,345866,1737,0.004997080002186402,0.5111761168214792,0,0.6351670733816267,0.36483292661837324,0.5892713377725805,0.43308089587037807,0.15619044190220238,12,0.1,0.1802890986420596,0.009988764933193128,0.5168934275385184,0.023778031210429765,2,0.4170028125178875,0.0,0.0,High_Coop,Survived,Rare,Moderate,Moderate
4,5,0.3113775725093822,2,0.8871900068091795,1.3442796431570199,20,0.09753612463539553,1.6291240609669582,0.11841064816166903,1.9867674760158205,0.18474825501185946,0.11483858498719722,0.029043399539428673,0.02890027069705018,300,200,800,0.020075282308657464,0.053704746507783695,0.020075282308657464,0.9799247176913425,797,False,300,549711,3954,0.007141502533120208,0.21626523485207738,0,0.6539027447276162,0.3460972552723838,0.151352138989237,0.28117833071491777,-0.12982619172568077,15,0.2,0.23525442458155654,0.004876806231769776,0.621594964346621,0.006250123829586167,14,0.4993354288200788,0.0,0.0,Collapse,Survived,Occasional,Fast,Moderate
5,2,0.5173715610960978,2,0.9889730227431063,1.3855855675613251,25,0.17788906105484942,1.7785215037467024,0.10423045849825645,1.8598259396102608,0.33983534066004784,0.07229458224840268,0.039906514852277225,0.09645667303855103,300,200,800,0.08607594936708861,0.0623775433308214,0.08607594936708861,0.9139240506329114,790,False,300,614454,6545,0.010539469467744714,0.3066263867077128,0,0.7579018193562278,0.2420981806437722,0.2675157759357099,0.3457369974797157,-0.07822122154400579,12,0.5,0.1938505104125281,0.0071155624421939765,0.21273414974436727,0.029576161127658165,39,0.5334319803030764,0.0,0.0,Collapse,Survived,Frequent,Moderate,Moderate
6,2,0.02586227527798908,3,0.8230385782747934,1.2260836642705855,25,0.1461396145446629,1.9311818532164038,0.1892314349579191,1.4983213190599596,0.1430216053939616,0.0642031964775809,0.026538240415496683,0.09300032234408012,300,200,800,0.14160401002506265,0.007327322184826351,0.14160401002506265,0.8583959899749374,798,False,300,580012,3007,0.005157636372056486,0.09962804342742468,0,0.35468849824473586,0.6453115017552642,0.04571227101521323,0.1535438158396361,-0.10783154482442288,12,0.5,0.2835294932337583,0.005845584581786516,0.4489055782916807,0.009265440153260508,38,0.42680056581018044,0.0,0.0,Low_Coop,Survived,Frequent,Fast,Complex
7,20,0.0,1,1.0785878831768054,1.10470577999426,0,0.28872929780566,1.723989698187273,0.14975814224611997,1.9047038153682556,0.262431613913913,0.07886246521810138,0.03436094393406369,0.06824926407166064,300,200,800,1.0,0.6694516231812228,1.0,0.0,798,False,300,130104,612,0.00468190581107133,0.846516725167885,0,1.0,0.0,0.846516725167885,0.846516725167885,0.0,0,0.05,0.2852449049186466,0.28872929780566,0.3005067264646366,0.05777414351706036,1,0.4123543845691957,0.0,0.0,High_Coop,Survived,Rare,Fast,Simple
8,10,0.45927422674143625,2,1.0056366869568543,1.107551114095945,25,0.20167950274950108,2.21390357391025,0.13974330786511668,1.3673242169440882,0.31361735171652505,0.0962246411155303,0.03405932648588154,0.0867240603300056,300,200,800,0.19011406844106463,0.45892215924266255,0.19011406844106463,0.8098859315589354,789,False,300,248929,1949,0.0077687162684651504,0.6039520574280428,0,0.7278066296702971,0.2721933703297029,0.6870810810130772,0.5208230338430083,0.16625804717006887,12,0.1,0.19107440899984732,0.008067180109980043,0.3068218023934677,0.05237717466482059,5,0.6760052206874235,0.0,0.0,Low_Coop,Survived,Rare,Moderate,Moderate
9,2,0.3895359779786642,3,1.0769072625666254,1.3589141579313218,20,0.2043082824802004,1.7551579241209474,0.12055609373864512,1.8599374896155658,0.2558834523627811,0.0894456218992301,0.03138813526785939,0.05337837816784599,300,200,800,0.0832282471626734,0.011088423295454546,0.0832282471626734,0.9167717528373266,793,False,300,630304,4532,0.0071388516089194685,0.18293103926127913,0,0.5922259706439394,0.4077740293560606,0.09860796891113228,0.267254109611426,-0.1686461407002937,15,0.5,0.22422679834611445,0.01021541412401002,0.3495561009252671,0.009764562192325639,43,0.624587339303889,0.0,0.0,Collapse,Survived,Frequent,Fast,Complex
10,10,0.0,1,0.9012759037928134,1.379297138220974,0,0.14587106885094103,2.1450395379882163,0.11394351530308479,1.4410276106808393,0.3600475822227458,0.0009655753664568389,0.044807783130591056,0.09748540677255865,300,200,800,0.8605830164765526,0.5999784110535406,0.8605830164765526,0.1394169835234474,789,False,300,180893,1655,0.009066108639919364,0.7155929705256301,0,1.0,0.0,0.7155929705256301,0.7155929705256301,0.0,0,0.1,0.16419575160977992,0.14587106885094103,0.0026817993346764913,0.06975987181527463,3,0.4558493268488965,0.0,0.0,High_Coop,Survived,Rare,Moderate,Simple
11,2,0.0,1,1.1399738180667653,1.49036291564247,0,0.29691663512098954,1.957707524589239,0.17666981118674685,1.907142338965672,0.23893871314448217,0.13593450405031018,0.04461798501964048,0.030446363514007105,300,200,800,0.16792929292929293,0.10537644967233788,0.16792929292929293,0.8320707070707071,792,False,300,515573,6570,0.012582759895277731,0.6413932527726502,0,1.0,0.0,0.6413932527726502,0.6413932527726502,0.0,0,0.5,0.33693447693131606,0.29691663512098954,0.5689095009401549,0.019528092129347554,37,0.596817755838554,0.0,0.0,Low_Coop,Survived,Frequent,Fast,Simple
