,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,8.644,0.2564461418604485,1.95,0.9989872310055462,1.3004390233138392,11.4,0.1754731872814873,2.00172616587154,0.12112848051218228,1.5982246996301401,0.24745399595834017,0.07463805267638722,0.03521644851836747,0.049417669407104514,300.0,200.0,800.0,0.4956823690805884,0.21970289396773643,0.4956823690805884,0.5043176309194116,770.386,300.0,431676.37,3909.714,0.009062162656976052,0.4831422212819906,0.0,0.7736777534417769,0.22632224655822314,0.48260024886093505,0.48368419370304616,-0.0010839448421110917,12.276,0.22510000000000002,0.19335494523787386,0.06790405725781644,0.3473297324668391,0.024225553208532206,17.77,0.5461999335391531,0.0,0.0
std,144.4818327679989,6.652652069597393,0.26659285317935366,0.8104403909323056,0.11459802312964538,0.11584526682254015,9.545797215999157,0.07133761448754988,0.2867238129778863,0.044131904691247545,0.22770926386017076,0.08429035455024449,0.04310279363154327,0.008510857186962798,0.029553542920085902,0.0,0.0,0.0,0.35316327206584036,0.20716018788113238,0.35316327206584036,0.3531632720658404,57.98521859189887,0.0,172359.20003295765,1718.779031441169,0.0028990808875732446,0.19925006819913071,0.0,0.20555807240758833,0.2055580724075884,0.22505214959077757,0.18424916920176265,0.10193181085660237,10.550566473218925,0.17662781425794485,0.07542040271993311,0.08739613228037242,0.2600105221414651,0.01899705083246155,15.124635837547855,0.15056652648698216,0.0,0.0
min,0.0,2.0,0.0,1.0,0.8006747709069393,1.1000208089066044,0.0,0.05041345621894423,1.500489688989443,0.05003542926079199,1.2003361344129426,0.10037110941634665,1.4687624546311228e-05,0.02009038323696322,0.0001711369674243013,300.0,200.0,800.0,0.001272264631043257,0.0005625671244864444,0.001272264631043257,0.0,494.0,300.0,45369.0,0.0,0.0,0.0719573514403444,0.0,0.33583501840618035,0.0,0.03162360759938261,0.07071828577475758,-0.2976456129591079,0.0,0.05,0.06433951208979932,0.0020652870595059963,4.1004064625293956e-05,6.111609382097416e-05,0.0,0.0,0.0,0.0
25%,124.75,2.0,0.0,1.0,0.9013787837207713,1.199794320204396,0.0,0.11651860581167445,1.730907466933314,0.08101491478843259,1.3998730357157183,0.17316068152863795,0.04047589347636091,0.028263712702570918,0.025700987834028886,300.0,200.0,800.0,0.19494243835077846,0.02959608378732454,0.19494243835077846,0.10824660187268824,786.75,300.0,290235.5,2666.25,0.007075446278961315,0.3177708458242515,0.0,0.6047930783728234,0.0,0.2834555489701984,0.3397674594148397,-0.062114325984336444,0.0,0.1,0.1289511278056344,0.008362411989328893,0.1474598900911979,0.008493846785362986,5.0,0.4742671224411542,0.0,0.0
50%,249.5,5.0,0.18321311973503507,2.0,1.0041467523340988,1.303173406606012,12.5,0.17384609102759516,2.0018878685124006,0.12032318744728412,1.5840978678803537,0.2463586146136067,0.07689438644783747,0.03555183741816891,0.046801810908724206,300.0,200.0,800.0,0.424328295549958,0.1434223901031979,0.424328295549958,0.575671704450042,792.0,300.0,441429.0,4036.0,0.008749485488814686,0.5121464737855639,0.0,0.7899485646870953,0.2100514353129047,0.5467447170239879,0.4757608743315824,0.0,12.0,0.2,0.18878971764151842,0.015581860981886499,0.30211167803041183,0.019400996708287682,12.0,0.538084896066958,0.0,0.0
75%,374.25,10.0,0.4804008045034946,3.0,1.0882052214212248,1.4021357265182806,20.0,0.23234310263847197,2.247941691869803,0.16168023227740153,1.7997711043996347,0.3185383850686502,0.11128742443369478,0.04216527364614776,0.07462189552616777,300.0,200.0,800.0,0.8917533981273118,0.36488634808624804,0.8917533981273118,0.8050575616492216,794.0,300.0,585933.5,5132.5,0.011706730764705887,0.6393608720000228,0.0,1.0,0.39520692162717663,0.6689666969796384,0.633552150763939,0.012627851885841687,20.0,0.5,0.24684834554699236,0.12380198400291975,0.4696012247890556,0.035685361515507344,31.0,0.6018221358958762,0.0,0.0
max,499.0,20.0,0.7982600721123766,3.0,1.1998304706908474,1.4988286299724196,25.0,0.29939069854707,2.4997903977840066,0.1995259708659426,1.995361994509113,0.39830367572446757,0.1490311652607128,0.04998524166254878,0.09970866739762564,300.0,200.0,800.0,1.0,0.8101906424766683,1.0,0.9987277353689568,799.0,300.0,749910.0,8568.0,0.0148441870311935,0.8609022161832662,0.0,1.0,0.6641649815938196,0.8950952827543988,0.8609022161832662,0.34599343010640154,30.0,0.5,0.38219015397924866,0.2993791804704694,1.3637901402833303,0.07700714215983767,59.0,2.0,0.0,0.0
