,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor
count,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
mean,74.5,8.18,0.2756993693012249,2.0733333333333333,1.0207481536076248,1.294033775715958,11.766666666666667,0.17572784667184024,1.998541241500771,0.11790894721529412,1.5756859338388143,0.25038737929981425,0.07907412063959128,0.03495962556550856,0.05116247615990441,300.0,200.0,800.0,0.8798643481899425,0.5243591594378889,0.8798643481899425,0.12013565181005738,581.3866666666667,300.0,165309.68,1450.04,0.006697879691359487,0.6611592881688169,0.0,0.7480126226263598,0.25198737737364013,0.6919593888663816,0.6303591874712523,0.061600201395129374,14.246666666666666,0.23,0.18512996015415634,0.058816970538301566,0.37520968380453773,0.0339578019579814
std,43.445367992456916,6.373255781917506,0.26060420000585793,0.8200234623150752,0.11548121594357506,0.11866723947335452,9.180089826194633,0.07140464608066427,0.3008129480351005,0.04245728335123587,0.2285364006772666,0.09042177791308628,0.04273183228683244,0.008635306959648833,0.03071603690496904,0.0,0.0,0.0,0.17309140575413695,0.17359899534524215,0.17309140575413695,0.17309140575413695,205.13144539085954,0.0,86476.09947731027,1579.2874481951808,0.005423830913746503,0.08085706284003269,0.0,0.20633300368028412,0.2063330036802842,0.09687269628242508,0.0876024572865638,0.0892499925539183,11.209976780455195,0.1746520990560891,0.07033429301737912,0.08244965067720522,0.28978762863251495,0.020836229575228127
min,0.0,2.0,0.0,1.0,0.8002904078818336,1.1020349232677409,0.0,0.050579922989280615,1.5115137875200544,0.0530614413371949,1.2022041379372974,0.10014097174800489,0.00013075432827857613,0.020046020265818337,0.0005381945285222733,300.0,200.0,800.0,0.29396984924623115,0.1673876294358493,0.29396984924623115,0.0,209.0,300.0,28475.0,0.0,0.0,0.4202896925013614,0.0,0.3335906910053494,0.0,0.44425645755688326,0.39632292744583947,-0.14540252790211405,0.0,0.05,0.06625268239227801,0.002028149913745419,0.00037974160965090144,0.0003576408540343414
25%,37.25,2.0,0.0,1.0,0.9256685385753465,1.1833198264809814,0.0,0.117247522812684,1.718857854458634,0.0803669056756812,1.383430781320122,0.1679649948727815,0.04864098847909827,0.027452056491595427,0.021802251278323713,300.0,200.0,800.0,0.8411857036909104,0.38484520248711107,0.8411857036909104,0.009695925180480397,383.5,300.0,98882.25,147.25,0.001487568694430872,0.6036507158962087,0.0,0.5788333645518116,0.0,0.6254900555222562,0.5673888324643558,0.0,0.0,0.1,0.12826110632395912,0.00876943440365259,0.1711813083978426,0.01402813445003064
50%,74.5,5.0,0.22759015981926237,2.0,1.0281443043311709,1.2887557600933088,10.0,0.16743052012512763,1.9949461525242962,0.10948282868092055,1.5587926691630347,0.25170197450009596,0.08035418723739272,0.03553751313812211,0.053802124256613806,300.0,200.0,800.0,0.9680681864524285,0.5491223797630281,0.9680681864524285,0.031931813547571464,614.0,300.0,147378.5,725.5,0.005124163212743739,0.6640578928407614,0.0,0.7414224945922637,0.2585775054077363,0.6953481401992371,0.6247956723319913,0.029221720536240448,15.0,0.2,0.1801378902386395,0.016273023665745463,0.30945089839316975,0.035259800594259684
75%,111.75,10.0,0.4860276263038713,3.0,1.1213880933197493,1.39032197489902,20.0,0.2366562230869878,2.2885768866316747,0.15462733868321168,1.7510770911047513,0.32709489212479936,0.11434380279053341,0.04292942124754469,0.0796518461432008,300.0,200.0,800.0,0.9903040748195195,0.6642452734595578,0.9903040748195195,0.1588142963090896,784.0,300.0,220191.5,2450.0,0.011966746646765712,0.7203661753110778,0.0,1.0,0.4211666354481884,0.7688181897262394,0.692150139062101,0.13021131383805937,20.0,0.5,0.23713193938318927,0.08847982097622539,0.47648335395588687,0.05164456347399651
max,149.0,20.0,0.7936587828712489,3.0,1.1976960590284174,1.4992409560484847,25.0,0.2985799268713144,2.4884817513942448,0.19934941161794784,1.9940046799322042,0.39804433739764555,0.14929725420757617,0.049813388908548265,0.09864653627096631,300.0,200.0,800.0,1.0,0.83532989197739,1.0,0.7060301507537688,799.0,300.0,394268.0,5663.0,0.017130363336965902,0.8663895049143634,0.0,1.0,0.6664093089946507,0.8787846184708812,0.8663895049143634,0.3437639959666773,30.0,0.5,0.3975036597079193,0.2985799268713144,1.4350314049427044,0.07328221805852565
