run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
10,10,0.17027941249216846,2,1.1396873322772636,1.3223277218012421,10,0.11131800217865999,2.0972217682568024,0.05768665869625728,1.4697919758786742,0.16532678278927015,0.08083758516538862,0.038242670811523855,0.0482057693597106,300,200,800,0.43544303797468353,0.06121580076526663,0.43544303797468353,0.5645569620253165,790,False,300,548104,4247,0.007688951409520395,0.44587079485726944,0,0.5882987193948643,0.41170128060513567,0.41590393385240126,0.47583765586213755,-0.05993372200973629,30,0.1,0.0847873880670107,0.011131800217865999,0.4889563796110781,0.02149354470112037,4,0.43258052101020844,0.15,0.15,Medium_Coop,Survived,Rare,Slow,Moderate
11,10,0.3302365289551821,3,1.1575869081063457,1.2432995675981453,15,0.20106799442858136,2.325220558010522,0.11706476781230647,1.8867369807889423,0.15842457019819095,0.01867221195924471,0.020800859159292015,0.08102671580145687,300,200,800,0.38321167883211676,0.02549393484522699,0.38321167883211676,0.6167883211678832,548,False,300,435298,3109,0.00709158384788564,0.16983870264856601,0,0.5494908515558441,0.45050914844415596,0.10747974249172444,0.23219766280540757,-0.12471792031368313,20,0.1,0.22087042657894967,0.013404532961905424,0.11786184387867082,0.0137614722915935,6,0.48480160752105333,0.15,0.15,Medium_Coop,Survived,Rare,Fast,Complex
12,2,0.0,1,0.819872288392892,1.1224307023050792,0,0.11313114744723253,1.7582580543934951,0.06925872883154643,1.6813519618110957,0.22724887870319882,0.028424167185348858,0.025572315943572593,0.0024960304779445665,300,200,800,0.48633879781420764,0.10231618739372025,0.48633879781420764,0.5136612021857924,732,False,300,431365,5913,0.013522290167810867,0.5027954277732564,0,1.0,0.0,0.5027954277732564,0.5027954277732564,0.0,0,0.5,0.1164482995934633,0.11313114744723253,0.12507946066687786,0.0012549927118932238,55,0.5287746637835944,0.15,0.15,Medium_Coop,Survived,Frequent,Moderate,Simple
13,2,0.5363337501923986,3,1.1226126069524474,1.4042279945058436,25,0.1983492155226722,2.2525328083378535,0.07222609737336677,1.705076114042745,0.10366521411565707,0.008434662377509821,0.026222909377840005,0.04639633450315536,300,200,800,0.1822849807445443,0.0026727648159941336,0.1822849807445443,0.8177150192554558,779,False,300,587167,3448,0.005837982442030765,0.2552160652631304,0,0.6909145294197109,0.30908547058028907,0.18558677142595886,0.32484535910030193,-0.13925858767434307,12,0.5,0.12315099344185312,0.007933968620906888,0.0813644427348546,0.011841089934527328,38,0.5261411859984977,0.15,0.15,Low_Coop,Survived,Frequent,Moderate,Complex
14,10,0.0,1,1.012356792878854,1.494044463958324,0,0.17910241977233804,1.9212233123646894,0.19792886886281624,1.2451677245798851,0.20807032412301538,0.1460046062087065,0.03694138336355668,0.05608745658585217,300,200,800,0.9936948297604036,0.43864601648665313,0.9936948297604036,0.006305170239596469,793,False,300,261225,2712,0.010275179304152128,0.802571081865887,0,1.0,0.0,0.802571081865887,0.802571081865887,0.0,0,0.1,0.24645463927058336,0.17910241977233804,0.7017079769741005,0.045014170711213344,10,0.5040519120108448,0.15,0.15,High_Coop,Survived,Rare,Fast,Simple
15,20,0.36485080107576773,2,0.9472057419889685,1.2308667522859937,10,0.22355161695811848,1.6219381015396577,0.14903352428102556,1.6667318594178135,0.19254939205163943,0.0011498630033835056,0.03567732310156909,0.049684422843328815,300,200,800,0.9231754161331626,0.2598932049910099,0.9231754161331626,0.07682458386683738,781,False,300,407747,1756,0.004288124873322052,0.5939918670388018,0,0.6811441080769837,0.31885589192301633,0.6748760165004385,0.5131077175771651,0.16176829892327338,30,0.05,0.2483989230405036,0.022355161695811848,0.005971782050992538,0.029512143087454177,2,0.31717645478827583,0.15,0.15,High_Coop,Survived,Rare,Fast,Moderate
16,5,0.0,1,0.8661564850198449,1.2642896566983848,0,0.1370974331424366,1.843204406244112,0.060378460783443694,1.6672749767510202,0.3079947846205052,0.06489022650036368,0.02826626486995546,0.08767123078393753,300,200,800,0.9521410579345088,0.33841516741629185,0.9521410579345088,0.04785894206549118,794,False,300,282740,3604,0.012586259883217389,0.6043465745155067,0,1.0,0.0,0.6043465745155067,0.6043465745155067,0.0,0,0.2,0.10066749679897848,0.1370974331424366,0.2106861211312976,0.05298380800783108,14,0.5024236589004759,0.15,0.15,High_Coop,Survived,Occasional,Moderate,Simple
17,10,0.2029369646707135,2,0.8729915447349668,1.2346191970697693,15,0.0629223001198186,1.8901843292657308,0.160906343068151,1.5577664325352814,0.1102131396105405,0.03727497952056703,0.04532526468771006,0.05602808415079305,300,200,800,0.3333333333333333,0.024824408089711997,0.3333333333333333,0.6666666666666666,789,False,300,656678,5271,0.007962849101667953,0.16537553299424923,0,0.6010616932813704,0.39893830671862957,0.10940133486498817,0.22134973112351028,-0.11194839625852211,20,0.1,0.25065450001357165,0.0041948200079879065,0.3382081270190233,0.009265674279084049,8,0.47955525449327746,0.15,0.15,Medium_Coop,Survived,Rare,Fast,Moderate
18,5,0.33762473871012333,3,1.0492217313500052,1.1876683250270432,15,0.23750590116219583,1.8507121142552434,0.05388812247201088,1.8476566948353974,0.356327119058398,0.04334431002262643,0.040227050976098286,0.022384381039097224,300,200,800,0.7938931297709924,0.09834293552812072,0.7938931297709924,0.20610687022900764,786,False,300,518620,4442,0.008492301103884435,0.5218131052212899,0,0.5569684499314129,0.44303155006858713,0.49181062722231556,0.5518155832202642,-0.060004955997948695,20,0.2,0.09956675025752072,0.01583372674414639,0.12164190628309374,0.011680463378467886,15,0.698376138507475,0.15,0.15,High_Coop,Survived,Occasional,Slow,Complex
19,2,0.0,1,0.8097860071753631,1.2801471159812783,0,0.05547604244424763,1.8755180526242938,0.13396270188973985,1.4272637047441086,0.3310944356768202,0.12593229052479393,0.038762020914590356,0.06353699339370987,300,200,800,0.008838383838383838,0.15964691899077865,0.008838383838383838,0.9911616161616161,792,False,300,439006,5834,0.013114827803255102,0.633952151468091,0,1.0,0.0,0.633952151468091,0.633952151468091,0.0,0,0.5,0.1912001021966807,0.05547604244424763,0.3803515763330915,0.04027941365975626,41,0.4664302128337062,0.15,0.15,Collapse,Survived,Frequent,Moderate,Simple
