,run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,10.056,0.2753976091757584,2.04,0.9956275068446498,1.3005760952317877,11.92,0.17212795360370362,1.9924978022272999,0.12460309889678385,1.5951669136652877,0.25643349115805725,0.07396151771268755,0.03488845000998235,0.04952284703577792,300.0,200.0,800.0,0.5766714984223301,0.22592269627092254,0.5766714984223301,0.4233285015776698,763.99,300.0,422855.702,3817.12,0.00902765466415414,0.49691117344411057,0.0,0.7636031110166499,0.23639688898335015,0.5039884597682722,0.48983388711994896,0.014154572648323226,12.966,0.19920000000000002,0.19942709051626484,0.060556320188961565,0.33316820882110315,0.024211644618970338,15.392,0.5458434543807378,0.14999999999999997,0.14999999999999997
std,144.4818327679989,7.133767958840634,0.2702384237531686,0.8269023733610523,0.11638186314138217,0.11523187855928688,9.42290732018147,0.07254742118125185,0.27858314169466675,0.0425239501751644,0.23279103191879943,0.0886240885569197,0.04421705705852068,0.008841451682073351,0.028408696271735038,0.0,0.0,0.0,0.34558708026063134,0.1973000293709323,0.34558708026063134,0.34558708026063145,67.8911800210402,0.0,165745.9291528655,1679.1635566853508,0.002724739396423194,0.19306312402061301,0.0,0.20182286937078597,0.20182286937078592,0.21943306904610563,0.18005279589429632,0.10975555919541284,10.525512663698018,0.1725656913632357,0.07635768212891851,0.08357687234063488,0.2549303967548915,0.017470096017899065,13.721037487722201,0.13901282158685846,2.778337289411855e-17,2.778337289411855e-17
min,0.0,2.0,0.0,1.0,0.801640725628286,1.1002446179359828,0.0,0.050384825327791996,1.501379845051173,0.0502342414336038,1.2005616935425554,0.10041141742263077,0.0003919990176034227,0.020043732896808324,0.0003278088771026533,300.0,200.0,800.0,0.0,0.0003705689890998488,0.0,0.0,475.0,300.0,83989.0,0.0,0.0,0.07726975921094889,0.0,0.33703883962476067,0.0,0.03733738029237015,0.07917970359263816,-0.24366616955041853,0.0,0.05,0.0641314183130908,0.0022985067692338763,0.0020403102804987805,8.232224510035771e-05,0.0,0.0,0.15,0.15
25%,124.75,5.0,0.0,1.0,0.8992439770233488,1.2051897382618884,0.0,0.10973136556089667,1.756883392713824,0.0877572832204761,1.401940173237271,0.18122161470458759,0.035473693202571835,0.026737642395180707,0.024921243873794786,300.0,200.0,800.0,0.2508935219657483,0.04235124487449832,0.2508935219657483,0.06536261213207781,783.5,300.0,282834.5,2555.75,0.007198504122394003,0.3359736994576656,0.0,0.6007454101595315,0.0,0.31694232808026235,0.3651796629512958,-0.051034637708185934,0.0,0.05,0.1355212221016739,0.008285110886160385,0.14462512767945068,0.009920853751923371,5.0,0.46828223730892227,0.15,0.15
50%,249.5,10.0,0.21347833772947972,2.0,0.9915133276733178,1.3055379766169177,15.0,0.16411448825226702,1.9768395295468426,0.12365896510359073,1.5818245773251003,0.2639348791132701,0.07259709866978258,0.03546901985693354,0.04778657432038712,300.0,200.0,800.0,0.6255039071177493,0.18083250275057788,0.6255039071177493,0.3744960928822507,791.0,300.0,420251.5,3810.5,0.008568991253833778,0.5055736582692658,0.0,0.7557220902193063,0.24427790978069375,0.5586635608382144,0.46891431782143467,0.0,13.5,0.1,0.18967469712555934,0.013700757964273074,0.2972985567042893,0.02051226203072907,10.0,0.5371579332836511,0.15,0.15
75%,374.25,20.0,0.5222946894929321,3.0,1.10031988158003,1.3913398063533273,20.0,0.23708023328713104,2.228098960439548,0.16080252801206008,1.7969879464278267,0.33094494757660126,0.11334734174176464,0.04232268138372487,0.0742535678287656,300.0,200.0,800.0,0.9346373878679222,0.38431535040826936,0.9346373878679222,0.7491064780342517,794.0,300.0,561528.0,5077.0,0.011172074657887724,0.6551708758826542,0.0,1.0,0.39925458984046847,0.6784568564238218,0.6392850866354214,0.06390773584230289,20.0,0.2,0.2563105904432857,0.0903358101754867,0.4423270449017038,0.03455306488232738,21.0,0.6002216954135824,0.15,0.15
max,499.0,20.0,0.7988621079331026,3.0,1.1986979683227479,1.499870003240276,25.0,0.2983360155891744,2.499689162134839,0.1989052452355899,1.9976902120870383,0.39960829893800043,0.14943596282650723,0.04989658505580211,0.0998102263137718,300.0,200.0,800.0,1.0,0.775276960951925,1.0,1.0,799.0,300.0,741808.0,8154.0,0.014767005510165306,0.8780112307511335,0.0,1.0,0.6629611603752393,0.8780112307511335,0.8780112307511335,0.35513541920375424,30.0,0.5,0.39151331234599673,0.2970695055627902,1.325388929886589,0.08477978424003466,59.0,1.2347207948268328,0.15,0.15
